,Preselection,bb0FatJetPNetXbb < 0.985,bb1FatJetPNetXbb < 0.985,bb0FatJetPt >= 350,bb1FatJetPt >= 310,105 ≤ bb0FatJetPNetMass < 135
hh4b,3.9,1.17,1.17,1.08,1.06,0.53
qcd,888123.45,794539.28,794539.28,716178.15,709061.95,156302.23
data,1093325.0,987362.0,987362.0,896153.0,884798.0,184658.0
ttbar,107589.65,96998.81,96998.81,89406.05,88210.36,16075.42
vjets,23102.0,18023.3,18023.3,16628.24,16475.11,2792.74
diboson,22.27,9.4,9.4,8.59,8.49,1.67
gghtobb,0.0,0.0,0.0,0.0,0.0,0.0
vbfhtobb,46.27,18.54,18.54,17.11,16.92,10.17
vhtobb,160.18,74.66,74.66,68.12,67.72,34.62
tthtobb,297.31,229.23,229.23,208.65,205.6,43.02
