,Preselection,0.985 ≤ bb0FatJetPNetXbb < 1,0.985 ≤ bb1FatJetPNetXbb < 1,bb0FatJetPt >= 350,bb1FatJetPt >= 310,105 ≤ bb0FatJetPNetMass < 135
hh4b,3.9,2.73,0.79,0.74,0.73,0.46
qcd,888123.45,93584.16,135.88,128.52,125.52,26.72
data,1093325.0,105963.0,306.0,282.0,279.0,48.0
ttbar,107589.65,10590.84,157.84,147.31,145.35,24.64
vjets,23102.0,5078.71,12.0,11.34,11.06,1.91
diboson,22.27,12.87,2.47,2.3,2.27,0.36
gghtobb,0.0,0.0,0.0,0.0,0.0,0.0
vbfhtobb,46.27,27.73,0.03,0.03,0.03,0.03
vhtobb,160.18,85.52,3.35,3.17,3.14,1.16
tthtobb,297.31,68.08,1.85,1.7,1.68,0.66
