,Preselection,0.0 ≤ fatJet2PNetXbb < 0.95,fatJet1Pt >= 300,fatJet2Pt >= 300,fatJet1MassSD >= 50,fatJet2PNetMass >= 50,bdt_prediction >= 0.03
hh4b,3.54,1.78,1.78,1.78,1.77,1.76,1.15
qcd,893917.93,892018.66,892018.66,892018.66,847089.16,831552.8,61995.9
data,674263.0,671643.0,671643.0,671643.0,639108.0,626776.0,40727.0
ttbar,107194.9,104838.21,104838.21,104838.21,103994.53,103266.11,5140.15
vjets,23115.89,23036.5,23036.5,23036.5,22522.62,22157.43,3799.35
diboson,160.8,154.88,154.88,154.88,153.8,152.61,53.35
gghtobb,200.69,,,,,,
vbfhtobb,46.25,,,,,,
vhtobb,58.71,51.58,51.58,51.58,51.27,51.08,29.0
tthtobb,295.08,,,,,,
