,Preselection,fatJet1PNetXbb >= 0.8,fatJet2PNetXbb >= 0.98,fatJet1Pt >= 300,fatJet2Pt >= 300,fatJet1MassSD >= 50,110 ≤ fatJet2PNetMass < 140,bdt_prediction >= 0.43
hh4b,3.54,3.54,1.02,1.02,1.02,1.01,0.74,0.54
qcd,893917.93,893917.93,308.41,308.41,308.41,280.41,62.03,0.52
data,674263.0,674263.0,348.0,348.0,348.0,341.0,72.0,15.0
ttbar,107194.9,107194.9,327.73,327.73,327.73,326.47,75.33,10.33
vjets,23115.89,23115.89,21.03,21.03,21.03,20.32,3.32,0.92
diboson,160.8,160.8,2.26,2.26,2.26,2.26,0.16,0.12
gghtobb,200.69,,,,,,,
vbfhtobb,46.25,,,,,,,
vhtobb,58.71,58.71,3.96,3.96,3.96,3.96,1.66,0.82
tthtobb,295.08,,,,,,,
