,Preselection,Fix Weights,bb0FatJetPNetXbb < 0.985,bb1FatJetPNetXbb < 0.985,bb0FatJetPt >= 300,bb1FatJetPt >= 300,100 ≤ bb0FatJetPNetMass < 150
hh4b,25.67232310400011,2.645869870572546,0.9851828678302639,0.9851828678302639,0.9851828678302639,0.9851828678302639,0.8148593022901935
qcd,643801.8257504562,602001.883297335,545242.8827638621,545242.8827638621,545242.8827638621,545242.8827638621,217134.06299053167
data,743704.0,743704.0,680814.0,680814.0,680814.0,680814.0,267037.0
ttbar,73230.26761190429,73230.26761190429,67365.38674964168,67365.38674964168,67365.38674964168,67365.38674964168,28199.53560764901
gghtobb,271.03234569875076,271.03234569875076,136.10763844827056,136.10763844827056,136.10763844827056,136.10763844827056,114.4975030375452
vbfhtobb,34.312005898547504,34.312005898547504,14.341833194345813,14.341833194345813,14.341833194345813,14.341833194345813,12.547353045947588
vhtobb,153.92798952030986,153.92798952030986,77.04302741731144,77.04302741731144,77.04302741731144,77.04302741731144,58.448453093732496
tthtobb,182.03614322109323,182.03614322109323,145.45369140457896,145.45369140457896,145.45369140457896,145.45369140457896,66.67385709105092
diboson,593.0021086187967,593.0021086187967,409.1062103915808,409.1062103915808,409.1062103915808,409.1062103915808,110.11617930202391
vjets,14769.3193115601,14769.3193115601,11279.914363210724,11279.914363210724,11279.914363210724,11279.914363210724,3794.1103912482936
