,Preselection,Fix Weights,bb0FatJetPNetXbb >= 0.985,bb1FatJetPNetXbb >= 0.985,bb0FatJetPt >= 300,bb1FatJetPt >= 300,100 ≤ bb0FatJetPNetMass < 150
hh4b,25.67232310400011,2.645869870572546,1.6606870027422818,0.42498106224866916,0.42498106224866916,0.42498106224866916,0.4062689518334972
qcd,643801.8257504562,602001.883297335,56759.00053347227,63.11631335790453,63.11631335790453,63.11631335790453,37.48942716504072
data,743704.0,743704.0,62890.0,152.0,152.0,152.0,65.0
ttbar,73230.26761190429,73230.26761190429,5864.880862262588,68.09284351147878,68.09284351147878,68.09284351147878,25.96681740268966
gghtobb,271.03234569875076,271.03234569875076,134.9247072504802,0.1321931441955909,0.1321931441955909,0.1321931441955909,0.08077582989600215
vbfhtobb,34.312005898547504,34.312005898547504,19.970172704201687,0.0,0.0,0.0,0.0
vhtobb,153.92798952030986,153.92798952030986,76.88496210299844,3.0127083737747613,3.0127083737747613,3.0127083737747613,1.6221540410736288
tthtobb,182.03614322109323,182.03614322109323,36.58245181651425,0.7856651835321882,0.7856651835321882,0.7856651835321882,0.5484998218425927
diboson,593.0021086187967,593.0021086187967,183.89589822721592,2.299851225349316,2.299851225349316,2.299851225349316,0.25659655893912037
vjets,14769.3193115601,14769.3193115601,3489.4049483493777,4.608935498145034,4.608935498145034,4.608935498145034,1.383441410917077
