,Preselection,ak8FatJetPNetXbb0 < 0.985,ak8FatJetPNetXbb1 < 0.985,100 ≤ ak8FatJetPNetMass1 < 150
hh4b,27.058588958908313,10.048828250889958,10.048828250889958,7.582048777258192
qcd,185490.11047315874,166286.4429248691,166286.4429248691,69153.20986103982
data,812475.0,743725.0,743725.0,290896.0
ttbar,79335.39225133436,72903.22498609177,72903.22498609177,31212.33935878751
gghtobb,271.24317424808413,138.8546639577956,138.8546639577956,89.37147503017297
vbfhtobb,36.60109271462042,15.129035822791124,15.129035822791124,9.40149596536148
vhtobb,120.26493066553205,61.46949559939488,61.46949559939488,34.27902428677023
tthtobb,199.99120200387642,158.2897007540314,158.2897007540314,72.85309374955895
diboson,401.2657403449839,281.6427025880922,281.6427025880922,67.8013973967746
vjets,16509.495162369767,12625.742660570764,12625.742660570764,4165.472243303111
