,Preselection,bb0FatJetPNetXbb < 0.985,bb1FatJetPNetXbb < 0.985,100 ≤ bb0FatJetPNetMass < 150
hh4b,26.132886668701822,9.741238021269432,9.741238021269432,7.964732646054079
qcd,580560.9457212553,526990.5681939963,526990.5681939963,206761.28920669493
data,786252.0,719734.0,719734.0,281748.0
ttbar,74234.6696337026,68297.83315126215,68297.83315126215,28460.555701010446
gghtobb,261.1873205270148,136.8460413482748,136.8460413482748,114.46622133245442
vbfhtobb,35.34393192932357,15.085481267689119,15.085481267689119,13.231153674004641
vhtobb,115.01901766220054,58.2824503591089,58.2824503591089,43.05067893960795
tthtobb,184.33862454198245,147.25280245999645,147.25280245999645,67.33946132648798
diboson,601.4498702327961,415.5682868861145,415.5682868861145,111.03169989035868
vjets,15204.465593263712,11579.452623735015,11579.452623735015,3823.0807651802106
