,Preselection,bb0FatJetPNetXbb < 0.985,bb1FatJetPNetXbb < 0.985,bb0FatJetPt >= 450,bb1FatJetPt >= 450,100 ≤ bb0FatJetPNetMass < 150
hh4b,4.8547708321307095,1.8079079879138633,1.8079079879138633,1.8079079879138633,1.8079079879138633,1.3264044815502243
qcd,88336.52505824424,79499.22612856783,79499.22612856783,79499.22612856783,79499.22612856783,28433.573456167673
data,149108.0,135455.0,135455.0,135455.0,135455.0,44735.0
ttbar,19436.97128979521,17832.95301442781,17832.95301442781,17832.95301442781,17832.95301442781,4619.298198105504
gghtobb,53.09146531670676,31.191158478033103,31.191158478033103,31.191158478033103,31.191158478033103,27.923088788351777
vbfhtobb,10.387142727834952,3.5053596355705796,3.5053596355705796,3.5053596355705796,3.5053596355705796,3.1062238021827207
vhtobb,30.750787585206858,14.705507988011725,14.705507988011725,14.705507988011725,14.705507988011725,10.51768026222862
tthtobb,56.69824602132512,45.33829983511231,45.33829983511231,45.33829983511231,45.33829983511231,13.841727618795012
diboson,169.0366890388683,114.24344303841876,114.24344303841876,114.24344303841876,114.24344303841876,25.406384557726923
vjets,4442.597156120484,3375.4912825038273,3375.4912825038273,3375.4912825038273,3375.4912825038273,937.5892747652626
