,Skimmer Preselection,HLT,H1Msd > 30,H2Msd > 30
data,840355.0,581046.0,430115.0,288323.0
ttbar,20004.99737144367,16383.256483674739,16381.706738015691,16379.30304020669
ttlep,9133.459790007686,8708.347638742,7848.257473303652,6615.257928715545
hh4b,4.104822860836533,3.034693731984814,3.0345808989943004,3.0345808989943004
novhhtobb,413.4148407135409,400.4133908420412,388.1341554873934,238.67262284219615
vhtobb,136.39703298725934,131.18861804080524,124.17296462152812,110.21218878425383
vbfhh4b,0.09033313621335815,0.08941406903647857,0.0819790966663965,0.06037346498437475
diboson,275.4863967168985,228.0280297619492,198.7576959456887,149.24351790808572
vjets,18761.632210041746,15080.578335104243,12887.16985657717,7954.821148086494
qcd,711776.7367158359,242823.87390354712,242777.86806439792,242680.86581510794
