,Skimmer Preselection,HLT
qcd,683637.5037611553,693913.5423019816
data,1114670.0,1047970.0
ttbar,65887.50291672036,65433.7491544931
gghtobb,283.0709446044167,276.115240702365
vbfhtobb,42.46176739316397,41.13469920231192
vhtobb,147.74042203491823,144.393505719028
novhhtobb,325.5327119975807,317.2499399046769
tthtobb,178.05893954433927,175.38102601932894
diboson,626.5072350219324,595.8550750272209
vjets,17133.833221507615,16254.09733830734
hh4b,3.8863518064503966,3.857403869447285
vbfhh4b-k2v0,40.53749570381745,40.5876955963466
