,1 ≤ Category < 2,1 ≤ Category_JES_AbsoluteScale_down < 2
data,7.0,
hh4b,,0.21
hh4b-kl0,,0.22
hh4b-kl2p45,,0.17
hh4b-kl5,,0.12
vbfhh4b,,0.0
vbfhh4b-k2v0,,1.82
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,1.78
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,0.0
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.0
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.0
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.37
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.29
ttbar,,2.97
gghtobb,,0.11
vbfhtobb,,0.01
vhtobb,,0.49
novhhtobb,,0.13
tthtobb,,0.22
diboson,,0.01
vjets,,0.02
