,3 ≤ Category < 4,3 ≤ Category_JMR_down < 4
data,4651.0,
hh4b,,0.78
hh4b-kl0,,0.83
hh4b-kl2p45,,0.59
hh4b-kl5,,0.45
vbfhh4b,,0.01
vbfhh4b-k2v0,,6.42
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,7.36
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,0.0
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.0
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.0
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,1.06
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.98
ttbar,2441.44,
gghtobb,2.05,
vbfhtobb,0.14,
vhtobb,,5.45
novhhtobb,2.1,
tthtobb,9.63,
diboson,,8.71
vjets,59.24,
