,4 ≤ Category < 5,4 ≤ Category_JMR_down < 5
data,176365.0,
hh4b,,0.6
hh4b-kl0,,0.72
hh4b-kl2p45,,0.47
hh4b-kl5,,0.69
vbfhh4b,,0.01
vbfhh4b-k2v0,,3.69
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,5.6
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,10.72
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.88
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.12
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,1.12
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.68
ttbar,15765.18,
gghtobb,88.53,
vbfhtobb,12.72,
vhtobb,,37.35
novhhtobb,100.59,
tthtobb,41.12,
diboson,,102.68
vjets,3231.21,
