,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
data,2354739.0,2354739.0,1192567.0,712316.0,2.0,6.0,13.0,5.0,0.0,136.0,45.0,7451.0,2457.0
ttbar,119455.4039,122167.8016,85509.3586,63420.1765,1.4414,4.5016,2.4387,1.2919,0.0,58.5821,27.2984,3283.7948,1325.0238
gghtobb,413.9407,409.7436,321.4769,307.0167,0.0,0.1058,0.1704,0.0755,0.0,0.3526,0.158,2.5342,0.8775
vbfhtobb,56.8518,57.2153,44.5328,41.298,0.0283,0.0283,0.0303,0.0303,0.0,0.0129,0.0,0.1441,0.0418
vhtobb,201.4828,199.6133,151.3259,145.8799,0.0658,0.222,0.6529,0.16,0.0025,1.9947,0.657,8.2442,4.5363
novhhtobb,470.7925,487.9744,385.4512,368.2136,0.03,0.1571,0.2656,0.1472,0.0,0.4302,0.1732,2.6562,0.9151
tthtobb,282.8491,279.4241,198.6508,166.4574,0.0245,0.0909,0.2912,0.1468,0.0,1.4252,0.5248,13.1424,5.4572
diboson,1302.7111,1332.2723,667.6749,421.1207,0.0,0.0864,0.0617,0.0,0.0,0.6793,0.1352,13.8425,3.5374
vjets,35778.8935,36711.3285,18240.9238,11502.6379,0.0294,0.043,0.0395,0.0,0.0,2.2108,0.6414,111.7411,32.2861
hh4b,5.5632,5.9304,4.7215,4.6967,0.0553,0.0699,0.3786,0.3123,0.0001,0.8013,0.6304,1.2148,0.8884
hh4b-kl0,6.5541,6.9581,5.4687,5.418,0.0639,0.0854,0.4013,0.3298,0.0007,0.8692,0.6894,1.3911,1.0267
hh4b-kl2p45,3.5156,3.7556,3.0127,2.9733,0.0502,0.0599,0.233,0.1905,-0.0,0.4956,0.3976,0.7807,0.5749
hh4b-kl5,4.6413,4.7869,3.5558,3.3983,0.0403,0.0542,0.1883,0.1554,0.0002,0.3877,0.3111,0.64,0.4594
vbfhh4b,0.1098,0.118,0.0924,0.0894,0.0088,0.0106,0.0043,0.0036,0.0,0.0083,0.0067,0.0199,0.0152
vbfhh4b-k2v0,44.5599,51.8293,46.1679,45.7362,12.603,14.8731,3.4032,2.8369,0.0301,3.4093,2.8045,10.5089,8.4143
vbfhh4b-k2v2,39.8447,46.4918,41.446,41.0718,11.3723,13.4355,3.1449,2.6606,0.0298,3.1576,2.5493,9.1248,7.2992
vbfhh4b-kl2,0.1386,0.1412,0.0998,0.0933,0.0023,0.003,0.0032,0.0029,0.0,0.004,0.003,0.0128,0.0089
vbfhh4b-kv1p74-k2v1p37-kl14p4,62.1507,72.1232,62.4717,60.3659,18.9791,22.3704,3.589,3.055,0.0245,2.4149,2.0162,11.9991,9.847
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0269,0.0317,0.0286,0.0283,0.0087,0.0102,0.002,0.0017,0.0,0.0018,0.0015,0.0062,0.005
vbfhh4b-kvm0p758-k2v1p44-klm19p3,84.3101,94.978,81.5099,80.3086,16.5814,19.6518,6.6711,5.5336,0.0592,8.2098,6.9034,18.2533,14.2622
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.103,0.1114,0.0867,0.0825,0.0106,0.0129,0.0051,0.0041,0.0,0.0057,0.0044,0.0128,0.0099
vbfhh4b-kvm1p21-k2v1p94-klm0p94,7.5491,8.85,7.9307,7.8557,2.3177,2.7122,0.5795,0.4819,0.0041,0.5418,0.4465,1.7165,1.3836
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.7987,0.9024,0.7391,0.7246,0.1454,0.1786,0.0465,0.0378,0.0004,0.0448,0.0363,0.1252,0.1005
vbfhh4b-kvm2p12-k2v3p87-klm5p96,7.4888,8.3499,7.0516,6.926,1.1533,1.3685,0.5597,0.4591,0.0,0.7526,0.5864,1.6803,1.2878
