,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
data,1308153.0,1253676.0,680637.0,405127.0,1.0,8.0,7.0,2.0,0.0,97.0,36.0,4651.0,1542.0
ttbar,86117.3257,69533.6796,52756.2663,37653.6578,0.7478,3.3675,2.9659,1.2101,0.0,47.3279,18.9655,2441.1571,935.9673
gghtobb,301.3729,248.7575,198.6001,190.5869,0.0164,0.0478,0.1106,0.0337,0.0,0.4716,0.1799,2.049,0.832
vbfhtobb,40.4665,34.4713,28.1163,26.4315,0.017,0.0347,0.0094,0.0094,0.0,0.0128,0.0113,0.1408,0.0316
vhtobb,141.2015,118.378,89.1139,85.7998,0.0286,0.1289,0.4935,0.1008,0.0,1.2472,0.2837,5.4501,2.9132
novhhtobb,341.8395,280.7647,224.429,214.8404,0.0334,0.0839,0.1259,0.0456,0.0,0.4859,0.1892,2.097,0.8235
tthtobb,199.6453,170.0759,126.1266,105.013,0.0135,0.077,0.2198,0.0857,0.0,1.0485,0.4254,9.6344,3.977
diboson,921.7282,732.0318,401.2069,241.7714,0.0237,0.0237,0.0143,0.0,0.0,0.4709,0.0,8.7122,2.1732
vjets,25349.3775,19620.2376,11246.3214,7022.4641,0.0,0.0306,0.0153,0.0,0.0,1.1534,0.232,59.22,14.3579
hh4b,3.8872,3.5252,2.8255,2.8082,0.0343,0.0426,0.2172,0.1785,0.0001,0.4591,0.3675,0.7841,0.5866
hh4b-kl0,4.5239,4.0565,3.2026,3.1687,0.0375,0.0466,0.2285,0.189,0.0003,0.4901,0.3981,0.8305,0.6167
hh4b-kl2p45,2.9126,2.6671,2.1431,2.1108,0.0321,0.0391,0.1718,0.1449,0.0002,0.3287,0.2638,0.5926,0.4396
hh4b-kl5,3.7481,3.3119,2.4934,2.3718,0.0286,0.0359,0.1292,0.1084,0.0,0.2555,0.205,0.4516,0.3343
vbfhh4b,0.0782,0.0715,0.0561,0.054,0.0051,0.0062,0.0026,0.0022,0.0,0.0046,0.0037,0.0128,0.0098
vbfhh4b-k2v0,30.3189,29.547,26.2493,25.9362,6.7794,8.0126,1.8796,1.5476,0.0124,1.9148,1.5651,6.4166,5.0938
vbfhh4b-kv1p74-k2v1p37-kl14p4,42.6169,41.0939,35.6768,34.4127,10.1523,12.0417,1.8362,1.519,0.0143,1.272,1.0497,7.3595,5.9263
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.07,0.0642,0.0505,0.0481,0.0057,0.0076,0.0024,0.0016,0.0,0.0034,0.0027,0.008,0.0061
vbfhh4b-kvm1p83-k2v3p57-klm3p39,3.1749,2.9864,2.4626,2.377,0.4293,0.511,0.1655,0.137,0.0014,0.1849,0.15,0.4692,0.3611
vbfhh4b-kvm2p12-k2v3p87-klm5p96,5.049,4.7541,3.986,3.9112,0.6562,0.7828,0.3011,0.2508,0.0018,0.407,0.3343,0.9846,0.7624
