,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
data,546004.0,521166.0,302448.0,178514.0,1.0,4.0,2.0,1.0,0.0,39.0,11.0,2104.0,704.0
ttbar,39716.6943,30932.8759,23649.4099,16919.1279,0.2083,1.71,1.0017,0.556,0.0,20.0855,9.2313,1131.2906,436.4273
gghtobb,143.3126,118.5752,93.3575,89.7569,0.0102,0.0232,0.0457,0.0152,0.0,0.1873,0.0722,0.9739,0.3891
vbfhtobb,19.8256,17.1824,13.5626,12.8307,0.0,0.0,0.0,0.0,0.0,0.0169,0.0049,0.0914,0.0314
vhtobb,66.6242,55.9635,42.5279,40.8128,0.0087,0.0613,0.2297,0.0195,0.0008,0.5777,0.1076,2.6119,1.3099
novhhtobb,163.1382,135.1973,106.1605,101.9011,0.0105,0.0233,0.0484,0.0162,0.0,0.2089,0.0784,1.0303,0.4014
tthtobb,88.8029,73.4528,55.1275,46.0851,0.0142,0.0419,0.0999,0.025,0.002,0.4411,0.1786,4.3835,1.7934
diboson,451.3305,338.3084,188.9042,107.1618,0.0,0.0591,0.0,0.0,0.0,0.1991,0.0,4.5696,1.0662
vjets,12274.0961,9039.1568,5225.8271,3260.2125,0.0019,0.0019,0.0,0.0,0.0,0.5496,0.3689,28.4533,7.4289
hh4b,1.8175,1.6473,1.3139,1.3058,0.017,0.0208,0.1068,0.0891,0.0001,0.2197,0.1813,0.3598,0.2727
hh4b-kl0,2.1113,1.8865,1.5001,1.4854,0.018,0.0221,0.1099,0.0925,0.0004,0.2502,0.2059,0.3854,0.2988
hh4b-kl2p45,1.3696,1.2493,1.0119,0.9984,0.0141,0.0167,0.086,0.0719,0.0,0.1607,0.1294,0.2637,0.1985
hh4b-kl5,1.7607,1.5939,1.155,1.1023,0.0137,0.0166,0.0535,0.0448,0.0,0.1282,0.105,0.2185,0.162
vbfhh4b,0.037,0.0338,0.0265,0.0255,0.0025,0.003,0.0012,0.0009,0.0,0.0022,0.0018,0.006,0.0048
vbfhh4b-k2v0,14.7137,14.042,12.4559,12.3,3.2744,3.8385,0.9044,0.745,0.0161,0.9081,0.7517,2.9781,2.3675
vbfhh4b-kv1p74-k2v1p37-kl14p4,20.8059,19.4802,16.8692,16.2051,5.0075,5.8257,0.8605,0.6825,0.0187,0.5605,0.4556,3.3812,2.7097
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.009,0.0086,0.0077,0.0076,0.0023,0.0027,0.0005,0.0004,0.0,0.0005,0.0004,0.0018,0.0014
vbfhh4b-kvm0p758-k2v1p44-klm19p3,27.5397,25.926,21.9365,21.5344,4.2222,4.9852,1.767,1.4607,0.0281,2.0381,1.6795,5.1212,4.0162
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.0344,0.0311,0.0243,0.023,0.0029,0.0034,0.0013,0.001,0.0,0.0015,0.0012,0.0038,0.0029
vbfhh4b-kvm1p21-k2v1p94-klm0p94,2.491,2.3813,2.1277,2.1006,0.5967,0.6993,0.1564,0.1296,0.0032,0.1417,0.1176,0.4804,0.3834
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.2577,0.2404,0.1967,0.1907,0.0391,0.0458,0.0122,0.01,0.0002,0.0119,0.0094,0.0346,0.0275
vbfhh4b-kvm1p83-k2v3p57-klm3p39,1.52,1.4081,1.1562,1.1169,0.2072,0.2422,0.0772,0.0648,0.0012,0.0853,0.0707,0.2181,0.1693
vbfhh4b-kvm2p12-k2v3p87-klm5p96,2.4431,2.2841,1.8935,1.8558,0.3173,0.3719,0.1516,0.1268,0.0025,0.1927,0.1596,0.4573,0.3595
