,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
data,4890572.0000,4811257.0000,2560010.0000,1529068.0000,4.0000,20.0000,24.0000,8.0000,0.0000,320.0000,109.0000,16780.0000,5597.0000
hh4b,13.0199,12.8963,10.3198,10.2636,0.1280,0.1589,0.8364,0.6952,0.0005,1.7400,1.3934,2.7103,2.0185
hh4b-kl0,15.2044,14.9043,11.7704,11.6543,0.1469,0.1943,0.8533,0.7171,0.0014,1.8960,1.5169,2.9863,2.2416
hh4b-kl2p45,9.1065,9.0149,7.2600,7.1585,0.1127,0.1358,0.5942,0.5002,0.0002,1.1680,0.9366,1.9015,1.4183
hh4b-kl5,11.8341,11.3330,8.4915,8.1135,0.0973,0.1254,0.4418,0.3694,0.0002,0.9216,0.7394,1.5130,1.1128
vbfhh4b,0.2598,0.2596,0.2041,0.1971,0.0196,0.0235,0.0097,0.0081,0.0000,0.0179,0.0145,0.0445,0.0344
vbfhh4b-k2v0,103.2753,111.1139,98.9071,97.8947,26.8133,31.4280,7.3583,6.1423,0.0821,7.3244,6.0643,22.7814,18.2692
vbfhh4b-k2v2,93.3352,108.6301,96.9634,96.1117,27.3982,32.0133,7.5690,6.4459,0.0822,7.3161,6.0014,20.7926,16.7485
vbfhh4b-kl2,0.3238,0.3317,0.2323,0.2164,0.0068,0.0082,0.0079,0.0070,0.0000,0.0097,0.0075,0.0281,0.0197
vbfhh4b-kv1p74-k2v1p37-kl14p4,144.8814,154.5308,134.3250,129.7361,40.6028,47.4568,7.4580,6.1866,0.0795,4.9917,4.1342,26.1919,21.3247
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0619,0.0699,0.0630,0.0623,0.0194,0.0226,0.0045,0.0038,0.0000,0.0041,0.0034,0.0136,0.0109
vbfhh4b-kvm0p758-k2v1p44-klm19p3,193.2353,209.8913,179.6147,176.9065,36.7725,43.1932,14.9251,12.5463,0.1538,17.7660,14.8921,39.6357,31.2731
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.2401,0.2404,0.1884,0.1793,0.0228,0.0278,0.0102,0.0079,0.0000,0.0124,0.0099,0.0282,0.0217
vbfhh4b-kvm1p21-k2v1p94-klm0p94,17.3377,19.5142,17.4927,17.3195,5.1400,5.9690,1.3235,1.1095,0.0140,1.1958,0.9923,3.7364,3.0271
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.8366,1.9958,1.6406,1.6050,0.3298,0.3929,0.1047,0.0871,0.0008,0.1036,0.0831,0.2787,0.2220
vbfhh4b-kvm1p83-k2v3p57-klm3p39,10.6384,9.9577,8.2000,7.9170,1.4423,1.7067,0.5499,0.4573,0.0059,0.6123,0.5001,1.5574,1.2019
vbfhh4b-kvm2p12-k2v3p87-klm5p96,17.2993,17.8993,15.0441,14.7715,2.5101,2.9490,1.1967,1.0012,0.0054,1.5945,1.2825,3.6060,2.7976
ttbar,282687.6990,258566.6544,188309.6349,137454.2731,2.8478,10.8408,7.1817,3.5860,0.0000,143.0226,62.9352,7850.1557,3098.7400
gghtobb,980.8123,892.7947,706.4692,675.7803,0.0266,0.1768,0.3267,0.1244,0.0000,1.0616,0.4230,6.3794,2.4023
vbfhtobb,134.5366,125.7141,100.0555,93.4340,0.0453,0.0630,0.0397,0.0397,0.0000,0.0426,0.0162,0.4061,0.1048
vhtobb,467.4278,429.9445,327.5364,315.7204,0.1298,0.4777,1.5683,0.3401,0.0042,4.3647,1.2116,18.7859,10.1602
novhhtobb,1115.3490,1041.7603,828.0968,791.6241,0.0739,0.2643,0.4399,0.2090,0.0000,1.1829,0.4587,6.5596,2.4478
tthtobb,660.8923,607.6847,442.2462,369.6526,0.0564,0.2327,0.6907,0.2917,0.0020,3.3480,1.3064,31.5282,12.9951
diboson,3081.0946,2810.9562,1468.8235,900.5236,0.0237,0.1934,0.0760,0.0000,0.0000,1.5018,0.1352,31.1932,7.7804
vjets,84360.4417,76635.4084,40297.5915,25261.1295,0.0313,0.0755,0.2023,0.0966,0.0000,5.1043,1.4365,229.9098,62.5876
B ABCD,,,,,0.6435,,,7.968,,,,,
S/B ABCD,,,,,,,,0.082,,,,,
