,4 ≤ Category < 5,4 ≤ Category_JES_AbsoluteScale_up < 5
data,230485.0,
hh4b,,0.7
hh4b-kl0,,0.82
hh4b-kl2p45,,0.52
hh4b-kl5,,0.83
vbfhh4b,,0.01
vbfhh4b-k2v0,,4.06
vbfhh4b-k2v2,,6.52
vbfhh4b-kl2,,0.04
vbfhh4b-kv1p74-k2v1p37-kl14p4,,6.3
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,12.28
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.02
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.98
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.15
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.0
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.77
qcd,128889.96,
ttbar,,18441.77
gghtobb,,87.55
vbfhtobb,,12.84
vhtobb,,40.31
novhhtobb,,104.22
tthtobb,,47.17
diboson,,124.77
vjets,,3444.7
