,3 ≤ Category < 4
data,2574.0
hh4b,0.35
hh4b-kl0,0.36
hh4b-kl2p45,0.26
hh4b-kl5,0.21
vbfhh4b,0.01
vbfhh4b-k2v0,2.72
vbfhh4b-k2v2,4.23
vbfhh4b-kl2,0.01
vbfhh4b-kv1p74-k2v1p37-kl14p4,3.22
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,6.55
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,0.61
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.05
vbfhh4b-kvm1p83-k2v3p57-klm3p39,0.0
vbfhh4b-kvm2p12-k2v3p87-klm5p96,0.46
qcd,818.3
ttbar,993.79
gghtobb,0.82
vbfhtobb,0.03
vhtobb,2.5
novhhtobb,0.77
tthtobb,4.37
diboson,4.06
vjets,30.5
