,3 ≤ Category < 4,3 ≤ Category_JER_down < 4
data,7451.0,
hh4b,,1.1
hh4b-kl0,,1.26
hh4b-kl2p45,,0.7
hh4b-kl5,,0.59
vbfhh4b,,0.02
vbfhh4b-k2v0,,9.04
vbfhh4b-k2v2,,14.02
vbfhh4b-kl2,,0.02
vbfhh4b-kv1p74-k2v1p37-kl14p4,,10.17
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,22.44
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,2.06
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.16
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.0
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,1.47
qcd,2233.46,
ttbar,,3283.75
gghtobb,,2.53
vbfhtobb,,0.14
vhtobb,,8.33
novhhtobb,,2.56
tthtobb,,13.14
diboson,,14.16
vjets,,111.86
