,3 ≤ Category < 4,3 ≤ Category_JES_AbsoluteScale_up < 4
data,4651.0,
hh4b,,0.73
hh4b-kl0,,0.78
hh4b-kl2p45,,0.55
hh4b-kl5,,0.43
vbfhh4b,,0.01
vbfhh4b-k2v0,,5.78
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,6.61
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,0.0
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.0
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.0
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.96
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.9
qcd,1938.03,
ttbar,,2441.67
gghtobb,,2.04
vbfhtobb,,0.14
vhtobb,,5.51
novhhtobb,,2.05
tthtobb,,9.64
diboson,,9.19
vjets,,59.49
