,4 ≤ Category < 5,4 ≤ Category_JES_AbsoluteScale_up < 5
data,176365.0,
hh4b,,0.63
hh4b-kl0,,0.76
hh4b-kl2p45,,0.5
hh4b-kl5,,0.73
vbfhh4b,,0.01
vbfhh4b-k2v0,,3.78
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,5.81
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,11.24
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.9
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.13
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,1.18
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.72
qcd,116862.2,
ttbar,,15756.34
gghtobb,,88.53
vbfhtobb,,12.72
vhtobb,,38.33
novhhtobb,,99.79
tthtobb,,41.11
diboson,,110.09
vjets,,3230.97
