,3 ≤ Category < 4,3 ≤ Category_JER_down < 4
data,2104.0,
hh4b,,0.34
hh4b-kl0,,0.38
hh4b-kl2p45,,0.25
hh4b-kl5,,0.21
vbfhh4b,,0.01
vbfhh4b-k2v0,,2.7
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,3.02
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,6.61
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.61
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.04
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.45
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.42
qcd,751.99,
ttbar,,1130.82
gghtobb,,0.97
vbfhtobb,,0.09
vhtobb,,2.62
novhhtobb,,1.02
tthtobb,,4.39
diboson,,4.42
vjets,,28.34
