,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
qcd,1215214.23,834607.71,454721.19,255669.22,0.06,1.22,2.5,0.01,0.0,23.0,8.93,1938.03,537.14
data,1308153.0,1253676.0,680637.0,405127.0,1.0,8.0,7.0,2.0,0.0,97.0,36.0,4651.0,1542.0
ttbar,86117.33,69533.68,52756.27,37653.66,0.75,3.37,2.97,1.21,0.0,47.33,18.97,2441.16,935.97
gghtobb,301.37,248.76,198.6,190.59,0.02,0.05,0.11,0.03,0.0,0.47,0.18,2.05,0.83
vbfhtobb,40.47,34.47,28.12,26.43,0.02,0.03,0.01,0.01,0.0,0.01,0.01,0.14,0.03
vhtobb,141.2,118.38,91.54,88.25,0.02,0.13,0.53,0.09,0.0,1.26,0.26,5.51,2.96
novhhtobb,341.84,277.93,222.78,213.26,0.03,0.08,0.12,0.04,0.0,0.47,0.19,2.06,0.81
tthtobb,199.65,170.08,126.13,105.01,0.01,0.08,0.22,0.09,0.0,1.05,0.43,9.63,3.98
diboson,921.73,732.03,414.74,248.92,0.0,0.02,0.01,0.01,0.0,0.28,0.0,9.19,1.54
vjets,25349.38,19620.24,11246.32,7022.46,0.0,0.03,0.02,0.0,0.0,1.15,0.23,59.22,14.36
hh4b,3.89,3.47,2.87,2.85,0.04,0.05,0.23,0.2,0.0,0.48,0.4,0.73,0.57
hh4b-kl0,4.52,3.99,3.26,3.23,0.04,0.05,0.25,0.22,0.0,0.5,0.43,0.78,0.61
hh4b-kl2p45,2.91,2.62,2.18,2.14,0.04,0.04,0.18,0.16,0.0,0.34,0.29,0.55,0.43
hh4b-kl5,3.75,3.27,2.59,2.46,0.03,0.04,0.14,0.12,0.0,0.26,0.22,0.43,0.33
vbfhh4b,0.08,0.07,0.06,0.06,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01
vbfhh4b-k2v0,30.32,28.86,25.97,25.72,7.15,7.98,2.03,1.77,0.0,1.97,1.71,5.79,4.83
vbfhh4b-kv1p74-k2v1p37-kl14p4,42.62,40.16,35.52,34.27,10.7,11.96,2.01,1.75,0.0,1.3,1.14,6.62,5.58
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.07,0.06,0.05,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01
vbfhh4b-kvm1p83-k2v3p57-klm3p39,3.17,2.93,2.49,2.4,0.45,0.51,0.18,0.16,0.0,0.19,0.16,0.42,0.34
vbfhh4b-kvm2p12-k2v3p87-klm5p96,5.05,4.66,4.0,3.93,0.7,0.79,0.32,0.28,0.0,0.42,0.37,0.9,0.73
