,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
data,4890572.00,4811257.00,2560010.00,1529068.00,4.00,20.00,24.00,8.00,0.00,320.00,109.00,16780.00,5597.00
hh4b,13.02,12.56,10.31,10.26,0.14,0.16,0.83,0.74,0.00,1.76,1.49,2.52,1.96
hh4b-kl0,15.20,14.52,11.82,11.72,0.17,0.19,0.88,0.78,0.00,1.90,1.63,2.77,2.18
hh4b-kl2p45,9.11,8.77,7.26,7.16,0.12,0.14,0.60,0.52,0.00,1.18,1.00,1.76,1.38
hh4b-kl5,11.83,11.13,8.71,8.29,0.09,0.12,0.45,0.40,0.00,0.91,0.76,1.44,1.10
vbfhh4b,0.26,0.25,0.21,0.21,0.02,0.02,0.00,0.00,0.00,0.01,0.01,0.05,0.02
vbfhh4b-k2v0,103.27,104.59,93.96,93.14,26.25,29.26,7.21,6.33,0.00,7.21,6.32,20.25,16.97
vbfhh4b-k2v2,93.33,99.79,89.60,88.85,25.94,28.84,7.07,6.32,0.00,6.64,5.80,18.26,15.39
vbfhh4b-kl2,0.32,0.32,0.23,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02
vbfhh4b-kv1p74-k2v1p37-kl14p4,144.89,145.28,127.97,123.45,39.72,44.13,7.08,6.20,0.00,4.72,4.17,23.05,19.45
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.07,0.07,0.07,0.07,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00
vbfhh4b-kvm0p758-k2v1p44-klm19p3,193.24,197.87,172.08,169.33,35.67,39.85,14.01,12.29,0.01,17.19,15.03,35.63,29.33
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.23,0.23,0.19,0.18,0.02,0.02,0.00,0.00,0.00,0.01,0.00,0.02,0.02
vbfhh4b-kvm1p21-k2v1p94-klm0p94,17.33,18.03,16.26,16.11,4.84,5.39,1.25,1.09,0.00,1.14,1.01,3.28,2.78
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.84,1.88,1.60,1.54,0.32,0.35,0.08,0.08,0.00,0.10,0.08,0.25,0.21
vbfhh4b-kvm1p83-k2v3p57-klm3p39,10.63,9.74,8.27,7.98,1.50,1.68,0.59,0.52,0.00,0.63,0.54,1.40,1.13
vbfhh4b-kvm2p12-k2v3p87-klm5p96,17.30,17.14,14.71,14.44,2.52,2.83,1.16,1.03,0.00,1.60,1.36,3.25,2.66
qcd,3853920.59,3319040.03,1665658.55,934851.09,1.10,5.54,4.01,0.27,0.00,107.69,26.81,5741.78,1694.58
ttbar,282687.70,258566.66,188309.64,137454.28,2.85,10.84,7.19,3.59,0.00,143.03,62.94,7850.15,3098.74
gghtobb,980.81,892.80,706.47,675.79,0.03,0.18,0.33,0.13,0.00,1.06,0.42,6.37,2.40
vbfhtobb,134.54,125.72,100.05,93.43,0.05,0.06,0.04,0.04,0.00,0.04,0.01,0.40,0.10
vhtobb,467.42,429.94,333.64,321.48,0.09,0.47,1.63,0.27,0.00,4.37,1.07,18.95,10.27
novhhtobb,1115.35,1023.47,813.41,777.20,0.07,0.23,0.41,0.19,0.00,1.09,0.45,6.41,2.38
tthtobb,660.89,607.68,442.25,369.66,0.04,0.23,0.69,0.29,0.00,3.35,1.31,31.52,13.00
diboson,3081.09,2810.95,1509.85,906.36,0.00,0.10,0.08,0.01,0.00,1.16,0.05,32.00,5.68
vjets,84360.44,76635.42,40297.59,25261.12,0.03,0.07,0.21,0.10,0.00,5.10,1.43,229.91,62.59
S/B ABCD,,,,,,,,0.115,,,,,
