,4 ≤ Category < 5,4 ≤ Category_JER_down < 5
data,230485.0,
hh4b,,0.67
hh4b-kl0,,0.76
hh4b-kl2p45,,0.5
hh4b-kl5,,0.8
vbfhh4b,,0.01
vbfhh4b-k2v0,,3.94
vbfhh4b-k2v2,,6.34
vbfhh4b-kl2,,0.04
vbfhh4b-kv1p74-k2v1p37-kl14p4,,6.02
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,11.76
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.95
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.14
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.0
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.73
qcd,128889.96,
ttbar,,18445.94
gghtobb,,87.55
vbfhtobb,,12.84
vhtobb,,39.94
novhhtobb,,104.22
tthtobb,,47.2
diboson,,125.99
vjets,,3449.05
