,2 ≤ Category < 3,2 ≤ Category_JER_down < 3
data,48.0,
hh4b,,0.25
hh4b-kl0,,0.29
hh4b-kl2p45,,0.18
hh4b-kl5,,0.14
vbfhh4b,,0.0
vbfhh4b-k2v0,,1.03
vbfhh4b-k2v2,,1.54
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,0.68
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,3.32
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.22
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.02
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.0
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.24
qcd,16.35,
ttbar,,17.03
gghtobb,,0.05
vbfhtobb,,0.0
vhtobb,,0.54
novhhtobb,,0.05
tthtobb,,0.43
diboson,,0.15
vjets,,1.19
