,4 ≤ Category < 5,4 ≤ Category_JMR_up < 5
data,704710.0,
hh4b,,2.18
hh4b-kl0,,2.61
hh4b-kl2p45,,1.37
hh4b-kl5,,2.09
vbfhh4b,,0.04
vbfhh4b-k2v0,,12.91
vbfhh4b-k2v2,,20.82
vbfhh4b-kl2,,0.12
vbfhh4b-kv1p74-k2v1p37-kl14p4,,19.12
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,37.21
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.04
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,3.08
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.44
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.0
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,2.47
qcd,429535.45,
ttbar,60071.08,
gghtobb,303.85,
vbfhtobb,41.08,
vhtobb,,134.72
novhhtobb,354.54,
tthtobb,151.51,
diboson,,405.48
vjets,11388.6,
