,3 ≤ Category < 4,3 ≤ Category_JES_AbsoluteScale_down < 4
data,7451.0,
hh4b,,1.2
hh4b-kl0,,1.38
hh4b-kl2p45,,0.77
hh4b-kl5,,0.63
vbfhh4b,,0.02
vbfhh4b-k2v0,,10.3
vbfhh4b-k2v2,,16.04
vbfhh4b-kl2,,0.02
vbfhh4b-kv1p74-k2v1p37-kl14p4,,11.74
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,25.23
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,2.36
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.17
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.0
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,1.65
qcd,2233.46,
ttbar,,3283.79
gghtobb,,2.53
vbfhtobb,,0.14
vhtobb,,8.24
novhhtobb,,2.56
tthtobb,,13.14
diboson,,13.77
vjets,,111.74
