,4 ≤ Category < 5,4 ≤ Category_JMS_down < 5
data,400364.0,
hh4b,,1.3
hh4b-kl0,,1.56
hh4b-kl2p45,,0.97
hh4b-kl5,,1.49
vbfhh4b,,0.03
vbfhh4b-k2v0,,7.63
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,11.78
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,0.0
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.03
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.0
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.0
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,2.35
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,1.42
qcd,253704.47,
ttbar,35158.86,
gghtobb,187.91,
vbfhtobb,26.23,
vhtobb,,78.46
novhhtobb,210.53,
tthtobb,94.04,
diboson,,231.0
vjets,6962.04,
