,2 ≤ Category < 3,2 ≤ Category_JES_AbsoluteScale_down < 3
data,39.0,
hh4b,,0.21
hh4b-kl0,,0.24
hh4b-kl2p45,,0.15
hh4b-kl5,,0.12
vbfhh4b,,0.0
vbfhh4b-k2v0,,0.87
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,0.51
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,2.75
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.19
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.02
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.18
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.19
qcd,23.36,
ttbar,,20.09
gghtobb,,0.19
vbfhtobb,,0.02
vhtobb,,0.59
novhhtobb,,0.2
tthtobb,,0.44
diboson,,0.2
vjets,,0.55
