,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
qcd,1215214.23,834607.71,454721.19,255669.22,0.06,1.22,2.5,0.01,0.0,23.0,8.93,1938.03,537.14
data,1308153.0,1253676.0,680637.0,405127.0,1.0,8.0,7.0,2.0,0.0,97.0,36.0,4651.0,1542.0
ttbar,86117.33,69533.68,52756.27,37653.66,0.75,3.37,2.97,1.21,0.0,47.33,18.97,2441.16,935.97
gghtobb,301.37,248.76,198.6,190.59,0.02,0.05,0.11,0.03,0.0,0.47,0.18,2.05,0.83
vbfhtobb,40.47,34.47,28.12,26.43,0.02,0.03,0.01,0.01,0.0,0.01,0.01,0.14,0.03
vhtobb,141.2,118.38,89.11,85.8,0.03,0.13,0.49,0.1,0.0,1.25,0.28,5.45,2.91
novhhtobb,341.84,277.93,222.78,213.26,0.03,0.08,0.12,0.04,0.0,0.47,0.19,2.06,0.81
tthtobb,199.65,170.08,126.13,105.01,0.01,0.08,0.22,0.09,0.0,1.05,0.43,9.63,3.98
diboson,921.73,732.03,401.21,241.77,0.02,0.02,0.01,0.0,0.0,0.47,0.0,8.71,2.17
vjets,25349.38,19620.24,11246.32,7022.46,0.0,0.03,0.02,0.0,0.0,1.15,0.23,59.22,14.36
hh4b,3.89,3.47,2.79,2.77,0.03,0.04,0.2,0.17,0.0,0.45,0.36,0.78,0.58
hh4b-kl0,4.52,3.99,3.16,3.13,0.04,0.04,0.21,0.18,0.0,0.48,0.39,0.82,0.61
hh4b-kl2p45,2.91,2.62,2.11,2.08,0.03,0.04,0.16,0.14,0.0,0.32,0.26,0.59,0.44
hh4b-kl5,3.75,3.27,2.47,2.35,0.03,0.03,0.12,0.1,0.0,0.25,0.2,0.45,0.33
vbfhh4b,0.08,0.07,0.06,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01
vbfhh4b-k2v0,30.32,28.86,25.62,25.31,6.53,7.73,1.74,1.43,0.01,1.89,1.55,6.33,5.04
vbfhh4b-kv1p74-k2v1p37-kl14p4,42.62,40.16,34.83,33.58,9.76,11.59,1.7,1.41,0.01,1.25,1.04,7.26,5.85
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.07,0.06,0.05,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01
vbfhh4b-kvm1p83-k2v3p57-klm3p39,3.17,2.93,2.41,2.33,0.41,0.49,0.15,0.13,0.0,0.18,0.15,0.46,0.36
vbfhh4b-kvm2p12-k2v3p87-klm5p96,5.05,4.66,3.91,3.84,0.64,0.76,0.28,0.23,0.0,0.4,0.33,0.97,0.76
