,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
data,4890572.00,4811257.00,2560010.00,1529068.00,4.00,20.00,24.00,8.00,0.00,320.00,109.00,16780.00,5597.00
hh4b,13.02,12.56,10.04,9.98,0.12,0.14,0.73,0.61,0.00,1.68,1.35,2.68,1.99
hh4b-kl0,15.20,14.52,11.47,11.36,0.15,0.18,0.75,0.63,0.00,1.83,1.47,2.95,2.22
hh4b-kl2p45,9.11,8.77,7.06,6.97,0.09,0.13,0.53,0.45,0.00,1.13,0.91,1.88,1.41
hh4b-kl5,11.83,11.13,8.33,7.95,0.08,0.12,0.39,0.32,0.00,0.90,0.71,1.50,1.10
vbfhh4b,0.26,0.25,0.21,0.19,0.01,0.02,0.00,0.00,0.00,0.01,0.01,0.05,0.02
vbfhh4b-k2v0,103.27,104.59,92.79,91.79,24.20,28.41,6.24,5.19,0.06,6.98,5.79,22.08,17.73
vbfhh4b-k2v2,93.33,99.79,88.60,87.78,23.73,27.83,6.09,5.15,0.05,6.80,5.58,19.89,16.04
vbfhh4b-kl2,0.32,0.32,0.23,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02
vbfhh4b-kv1p74-k2v1p37-kl14p4,144.89,145.28,125.56,121.02,36.43,42.61,6.22,5.14,0.07,4.66,3.86,25.20,20.54
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.07,0.07,0.07,0.07,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00
vbfhh4b-kvm0p758-k2v1p44-klm19p3,193.24,197.87,168.51,165.86,32.84,38.62,12.34,10.34,0.14,16.90,14.20,38.42,30.37
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.23,0.23,0.18,0.17,0.02,0.02,0.00,0.00,0.00,0.01,0.00,0.02,0.02
vbfhh4b-kvm1p21-k2v1p94-klm0p94,17.33,18.03,16.08,15.91,4.50,5.25,1.08,0.90,0.00,1.12,0.93,3.59,2.90
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.84,1.88,1.53,1.50,0.28,0.34,0.08,0.07,0.00,0.10,0.07,0.27,0.22
vbfhh4b-kvm1p83-k2v3p57-klm3p39,10.63,9.74,8.00,7.73,1.36,1.63,0.50,0.43,0.00,0.59,0.50,1.52,1.20
vbfhh4b-kvm2p12-k2v3p87-klm5p96,17.30,17.14,14.37,14.10,2.32,2.72,1.02,0.84,0.00,1.54,1.24,3.52,2.74
qcd,3853920.59,3319040.03,1665658.55,934851.09,1.10,5.54,4.01,0.27,0.00,107.69,26.81,5741.78,1694.58
ttbar,282687.70,258566.66,188309.64,137454.28,2.85,10.84,7.19,3.59,0.00,143.03,62.94,7850.15,3098.74
gghtobb,980.81,892.80,706.47,675.79,0.03,0.18,0.33,0.13,0.00,1.06,0.42,6.37,2.40
vbfhtobb,134.54,125.72,100.05,93.43,0.05,0.06,0.04,0.04,0.00,0.04,0.01,0.40,0.10
vhtobb,467.42,429.94,327.54,315.72,0.14,0.48,1.56,0.34,0.00,4.37,1.21,18.78,10.16
novhhtobb,1115.35,1023.47,813.41,777.20,0.07,0.23,0.41,0.19,0.00,1.09,0.45,6.41,2.38
tthtobb,660.89,607.68,442.25,369.66,0.04,0.23,0.69,0.29,0.00,3.35,1.31,31.52,13.00
diboson,3081.09,2810.95,1468.82,900.52,0.02,0.19,0.07,0.00,0.00,1.50,0.14,31.19,7.78
vjets,84360.44,76635.42,40297.59,25261.12,0.03,0.07,0.21,0.10,0.00,5.10,1.43,229.91,62.59
S/B ABCD,,,,,,,,0.087,,,,,
