,Skimmer Preselection,HLT,H1Msd > 40 & Pt > 300,Bin VBF [110-140],Bin VBF,Bin 1,Bin 1 [110-140],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-140],Bin 3,Bin 3 [110-140]
qcd,801070.0113698596,715266.594436516,651376.2931330258,0.0,0.0,0.6386553031637728,0.022243413091325354,0.0,34.65723133967362,7.455007275135418,348616.8663422226,74885.62640382128
data,1211253.0,1086898.0,986200.0,0.0,0.0,11.0,1.0,0.0,110.0,28.0,560417.0,118676.0
ttbar,73558.57435693235,71191.43184730638,68569.95852494017,0.0,0.0,2.0183017023107457,0.7844885769021092,0.0,27.50721410837385,8.882218444411016,44474.493875936074,9799.33328031268
gghtobb,295.34944659356086,287.3346446932861,277.6654905066094,0.0,0.0,0.07550034875998393,0.07550034875998393,0.0,0.66678850661376,0.10166929580528153,262.21843238274687,55.67496141351748
vbfhtobb,44.16352155103003,42.67271995491446,41.00418525810111,0.0,0.0,0.030733788951604776,0.0,0.0,0.0,0.0,37.851204669698866,6.775918455273235
vhtobb,154.57994344298038,150.45431768311184,143.9009488283394,0.0,0.0,0.6404033585595832,0.07982118203121225,0.0,1.7080740372304983,0.26662571575860017,135.6579902895787,12.199821927035696
novhhtobb,339.5129681445909,330.00736464820056,318.6696757647105,0.0,0.0,0.10623413771158871,0.07550034875998393,0.0,0.66678850661376,0.10166929580528153,300.0696370524457,62.45087986879073
tthtobb,186.553557412689,183.6164945956224,175.69055949467167,0.0,0.0,0.14299676569996872,0.05995075402954675,0.0,1.4762918630446067,0.3756257529943892,139.99544883366053,31.376628662570372
diboson,731.7288742228686,678.12627520304,606.9024962157049,0.0,0.0,0.061779339182664435,0.0,0.0,0.1527141040248929,0.0,362.3671949061104,39.2920813505652
vjets,19399.89446255538,18071.95456190398,16378.24529245469,0.0,0.0,0.3144235656415354,0.0,0.0,3.052812467048277,1.2600310413170555,11316.26793641236,2227.957901452144
hh4b,3.968731701273867,3.956044373012574,3.7698159821294484,0.0,0.0,0.2671298085216347,0.2008309134262269,0.0,0.615766508767477,0.421412575768808,2.8501491053784918,1.3698310002063088
vbfhh4b-k2v0,40.823802840636745,40.649196636382214,38.09515002854958,0.0,0.0,5.268853404063936,4.141105563857687,0.0,7.900414074192711,5.916699769893281,24.491741809272202,15.405763894083837
