,Skimmer Preselection,HLT,H1Msd > 40 & Pt > 300,Bin VBF [110-140],Bin VBF,Bin 1,Bin 1 [110-140],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-140],Bin 3,Bin 3 [110-140]
qcd,606277.0787447054,409570.31241585675,385490.3092706647,0.0,0.0,0.3554069192375336,0.01702852496655848,0.0,44.52124111126616,12.963464730750538,209553.47080291712,45726.18933443294
data,734710.0,610646.0,563197.0,0.0,0.0,7.0,1.0,0.0,87.0,21.0,320165.0,67335.0
ttbar,52530.60417093288,40562.31909431327,39598.26707665602,0.0,0.0,2.068598367498278,0.46852385791192996,0.0,25.81937323761082,6.617935993536298,25521.924515886596,5689.1388600209975
gghtobb,205.61246161124257,181.596637853078,176.25805782916356,0.0,0.0,0.06120126549652081,0.017909877254863767,0.0,0.4413194003822047,0.11342610622254368,167.55933386428904,36.986958219708114
vbfhtobb,30.337273243208184,27.2137068284613,26.253354827116276,0.0,0.0,0.0009160545993321051,0.0,0.0,0.04848911788059347,0.015729446248344495,24.61943647719046,4.432215753973663
vhtobb,102.895923922917,91.19327414740934,87.91872213482249,0.0,0.0,0.5052229946432272,0.0426906664328229,0.0,1.202462021954131,0.20099675249220872,82.86904947286784,7.280873134374366
novhhtobb,235.94973485445067,208.81034468153933,202.51141265627987,0.0,0.0,0.06211732009585291,0.017909877254863767,0.0,0.48980851826279814,0.12915555247088817,192.17877034147946,41.41917397368177
tthtobb,130.73784317424128,116.0190979026961,112.4451180095067,0.0,0.0,0.11253434489668529,0.02449411493458365,0.0,1.1655086214777661,0.2967450621714936,89.72373890794523,20.402201789856935
diboson,505.6031693214926,406.7846180686919,377.3891875658703,0.0,0.0,0.0,0.0,0.0,0.33920863963396986,0.014399266327774324,222.56782730953887,22.877580647635476
vjets,14353.217272762748,10810.212623774674,10029.656878363088,0.0,0.0,0.0,0.0,0.0,0.952562849855789,0.03370336634375678,6070.065559642425,1248.3320197807939
hh4b,5.474033065734516,5.275436236044888,5.076665888308737,0.0,0.0,0.4083748724143645,0.31854806055650786,0.0,0.8833504601078236,0.613376815303494,3.7353658751880543,1.8717000876927523
