,Skimmer Preselection,HLT,H1Msd > 40 & Pt > 300,Bin VBF [110-140],Bin VBF,Bin 1,Bin 1 [110-140],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-140],Bin 3,Bin 3 [110-140]
qcd,606277.0787447054,409570.31241585675,385490.3092706647,0.04918576827646793,4.66261507085996,0.10776368729611913,0.01702852496655848,0.24764323194141444,41.83219852750235,12.948246857611695,209551.74487366198,45726.155366537794
data,734710.0,610646.0,563197.0,1.0,6.0,7.0,1.0,0.0,83.0,20.0,320163.0,67335.0
ttbar,52530.60417093288,40562.31909431327,39598.26707665602,0.34444787969571544,2.6420704828722763,1.8677201322501884,0.39243014108589896,0.20087823524809006,24.901825986553316,6.528776383808335,25520.40087089002,5688.959665467856
gghtobb,205.61246161124257,181.596637853078,176.25805782916356,0.016893157918214795,0.05849689152911292,0.049511711339545524,0.014635916141867378,0.011689554156975285,0.4034696234430706,0.10296446967020602,167.55037630385604,36.98380065945523
vbfhtobb,30.337273243208184,27.2137068284613,26.253354827116276,0.0,0.029521477614407408,0.0,0.0,0.0009160545993321051,0.03250331125026709,0.015729446248344495,24.606816860805708,4.432215753973663
vhtobb,102.895923922917,91.19327414740934,87.91872213482249,0.0357163955480542,0.26705606089754275,0.37854762655764107,0.034157249855942914,0.1266753680855861,1.0938862871303843,0.1799501813687746,82.83724451487964,7.274736726526626
novhhtobb,235.94973485445067,208.81034468153933,202.51141265627987,0.016893157918214795,0.08801836914352033,0.049511711339545524,0.014635916141867378,0.012605608756307386,0.43597293469333764,0.11869391591855051,192.15719316466175,41.4160164134289
tthtobb,130.73784317424128,116.0190979026961,112.4451180095067,0.03221155902567808,0.1314357333772715,0.08152665210897274,0.021452355962090733,0.031007692787712548,1.086457866147671,0.2748986651390909,89.70236162268576,20.39487838683615
diboson,505.6031693214926,406.7846180686919,377.3891875658703,0.0,0.023949364529651348,0.0,0.0,0.0,0.3152592751043185,0.014399266327774324,222.56782730953887,22.877580647635476
vjets,14353.217272762748,10810.212623774674,10029.656878363088,0.0,0.11094724982506392,0.0,0.0,0.0,0.8416156000307251,0.03370336634375678,6070.065559642425,1248.3320197807939
hh4b,5.474033065734516,5.275436236044888,5.076665888308737,0.14772202479036325,0.19820408378827004,0.305443221671599,0.23509534757717337,0.10293165074276542,0.8004837373081555,0.5577856441415124,3.7229601649422177,1.863021947043705
