,Skimmer Preselection,HLT,H1Msd > 40 & Pt > 300,Bin VBF [110-140],Bin VBF,Bin 1,Bin 1 [110-140],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-140],Bin 3,Bin 3 [110-140]
qcd,287721.87436270644,195465.39384795752,183744.19701054113,0.044946186570731,0.7012139147382224,0.0,0.0,0.0055068847429378094,4.626789353627245,2.2736374133048667,98353.3717699424,21005.340878707764
data,322695.0,263141.0,246093.0,0.0,2.0,1.0,0.0,1.0,44.0,5.0,139369.0,29129.0
ttbar,24213.748714421206,18739.416550079677,18286.306993268357,0.2802798605739138,1.5869930501275424,0.9322876932230966,0.27819108997616704,0.16103759920730534,10.659099467851874,3.456980438721456,11739.982108792226,2610.081062983434
gghtobb,97.90659919569758,86.3179657495644,83.75377180270804,0.005008878280323641,0.02194809483770075,0.020903620570467702,0.002949087716031609,0.0040852473940424985,0.19338793094383536,0.06435610562795058,79.69205813454666,17.4972379699617
vbfhtobb,14.801457845820124,13.1624134763599,12.699284413413128,0.0,0.0,0.0,0.0,0.0,0.017292554622548473,0.005058808602699166,11.89766039499569,2.07335725838163
vhtobb,48.754706915721826,43.77277688211153,42.10941282360004,0.01276920503165339,0.12022104988687447,0.18058800830209398,0.018075217234567502,0.07096583544140016,0.5210131435984995,0.07667757534040456,39.625491251867615,3.492113129049338
novhhtobb,112.70805704151772,99.4803792259243,96.45305621612117,0.005008878280323641,0.02194809483770075,0.020903620570467702,0.002949087716031609,0.0040852473940424985,0.21068048556638383,0.06941491423064974,91.58971852954232,19.570595228343326
tthtobb,58.19864665965176,51.84880631107316,50.3145182418217,0.00811324715576085,0.06086534752608233,0.04227121093926855,0.011726339932377384,0.02286893875560042,0.41482630645917185,0.10472216906375961,40.22132152316656,9.060284159252028
diboson,243.57706451346738,195.39398238873665,180.73656316817903,0.0,0.0592747247346589,0.0,0.0,0.0592747247346589,0.3712952171725791,0.0,104.6751760842283,10.841226383051364
vjets,6805.737698177307,5056.921841173984,4710.407874796607,0.0,0.0018809114289192563,0.0,0.0,0.0,0.6420658805129482,0.0,2858.3085607002054,559.9155792361585
hh4b,1.2730785103428932,1.2207408906887043,1.1788444484845324,0.0355531255324686,0.05059366843626174,0.06758503287805091,0.05564071394932755,0.025474518051706932,0.18447493923085856,0.1287962192113768,0.8633008092459842,0.4254042734885706
