,Skimmer Preselection,HLT,H1Msd > 40 & Pt > 300,Bin VBF [110-140],Bin VBF,Bin 1,Bin 1 [110-140],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-140],Bin 3,Bin 3 [110-140]
qcd,242334.6156355989,215842.02763706024,198634.37177670567,0.04989503751066114,0.14944268991642773,0.49290684523954464,0.4573863267123246,0.0,11.440838900276038,0.6674588082459669,106652.36253029197,22705.15464317753
data,378490.0,348193.0,319275.0,3.0,6.0,2.0,1.0,0.0,33.0,8.0,183873.0,38679.0
ttbar,22903.429149382766,22255.59243475221,21464.354206334643,0.16225310256369516,0.6345209706184909,0.49726290365857506,0.17155481851751359,0.0,8.037381622483881,2.919573582940315,13872.337268663949,3042.2676718449125
gghtobb,85.70884021760347,82.86906627104996,79.98624473303427,0.0,0.0,0.0,0.0,0.0,0.12627386462262097,0.0,75.32861377213354,15.676384161201618
vbfhtobb,13.26018604940067,12.941304834770285,12.69229079855021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.735405352829288,2.3870434077719183
vhtobb,45.51085191400714,44.33456192555124,42.67268931934277,0.013803383242868117,0.04918075215642386,0.16317813611665533,0.027259886259044117,0.0,0.4429395658355676,0.08471141109400429,40.48152610813037,3.399567505443326
novhhtobb,98.96902626700414,95.81037110582025,92.67853553158449,0.0,0.0,0.0,0.0,0.0,0.12627386462262097,0.0,87.06401912496283,18.063427568973534
tthtobb,59.005804257314644,58.012627852943524,55.61548767657571,0.006952753453349022,0.005909225303911903,0.044582295684803305,0.017943790612871505,0.0,0.45274120472507295,0.12323945890407365,44.21302436853391,9.939772100803467
diboson,228.1254398004953,210.10661024498967,191.53934528616506,0.0,0.024228840413306085,0.0,0.0,0.0,0.19160992682041514,0.0,114.09410501145055,14.071020599211412
vjets,6150.560921158616,5493.909888670532,4955.040902731194,0.0,0.07577308874104575,0.02244359058166232,0.0,0.0,0.4400522890143648,0.17935874772298985,2996.765790205959,569.1111558520274
vbfhh4b-k2v0,12.50609187685465,12.450203267792553,11.681060347628963,1.7075024746744234,2.1960178029634068,1.6449899991798602,1.2876444057342367,0.0,1.0711787096444492,0.7837359709210674,6.637026690678199,4.070558594249789
