,Skimmer Preselection,HLT,H1Msd > 40 & Pt > 300,Bin VBF [110-140],Bin VBF,Bin 1,Bin 1 [110-140],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-140],Bin 3,Bin 3 [110-140]
qcd,287721.87436270644,195465.39384795752,183744.19701054113,0.044946186570731,0.6957070299952846,0.0055068847429378094,0.0,0.0,4.626789353627245,2.2736374133048667,98353.3717699424,21005.340878707764
data,322695.0,263141.0,246093.0,0.0,1.0,2.0,0.0,0.0,44.0,5.0,139369.0,29129.0
ttbar,24213.748714421206,18739.416550079677,18286.306993268357,0.2802798605739138,1.425955450920237,1.093325292430402,0.27819108997616704,0.0,10.659099467851874,3.456980438721456,11739.982108792226,2610.081062983434
gghtobb,97.90659919569758,86.3179657495644,83.75377180270804,0.0038573782906541334,0.017862847443658254,0.024988867964510195,0.004100587705701116,0.0,0.19338793094383536,0.06435610562795058,79.69205813454666,17.4972379699617
vbfhtobb,14.801457845820124,13.1624134763599,12.699284413413128,0.0,0.0,0.0,0.0,0.0,0.017292554622548473,0.005058808602699166,11.89766039499569,2.07335725838163
vhtobb,48.754706915721826,43.77277688211153,42.10941282360004,0.0072582726316616835,0.04925521444547433,0.2515538437434941,0.023586149634559215,0.0,0.5210131435984995,0.07667757534040456,39.625491251867615,3.492113129049338
novhhtobb,112.70805704151772,99.4803792259243,96.45305621612117,0.0038573782906541334,0.017862847443658254,0.024988867964510195,0.004100587705701116,0.0,0.21068048556638383,0.06941491423064974,91.58971852954232,19.570595228343326
tthtobb,58.19864665965176,51.84880631107316,50.3145182418217,0.005252111351974977,0.03799640877048191,0.06514014969486898,0.014587475736163258,0.0,0.41482630645917185,0.10472216906375961,40.22132152316656,9.060284159252028
diboson,243.57706451346738,195.39398238873665,180.73656316817903,0.0,0.0,0.0592747247346589,0.0,0.0,0.3712952171725791,0.0,104.6751760842283,10.841226383051364
vjets,6805.737698177307,5056.921841173984,4710.407874796607,0.0,0.0018809114289192563,0.0,0.0,0.0,0.6420658805129482,0.0,2858.3085607002054,559.9155792361585
hh4b,1.2730785103428932,1.2207408906887043,1.1788444484845324,0.015181355899367694,0.02511915038455481,0.09305955092975784,0.07601248358242846,0.0,0.18447493923085856,0.1287962192113768,0.8633008092459842,0.4254042734885706
