,Skimmer Preselection,HLT,H1Msd > 40 & Pt > 300,Bin 1,Bin 1 [110-140],Bin 2,Bin 2 [110-140],Bin 3,Bin 3 [110-140]
qcd,242334.61563559884,215842.0276370602,198634.3717767056,0.49290684523954453,0.4573863267123245,11.52946149074138,0.6849953881480975,106652.42335039139,22705.187001635135
data,378490.0,348193.0,319275.0,2.0,1.0,37.0,11.0,183875.0,38679.0
ttbar,22903.42914938277,22255.592434752205,21464.35420633465,0.49726290365857495,0.17155481851751353,8.46420234931442,3.0755539293718255,13872.544968907745,3042.2739446010446
gghtobb,85.70884021760347,82.86906627104996,79.98624473303427,0.0,0.0,0.12627386462262097,0.0,75.32861377213354,15.676384161201618
vbfhtobb,13.260186049400671,12.941304834770285,12.692290798550214,0.0,0.0,0.0,0.0,11.735405352829288,2.3870434077719183
vhtobb,45.51085191400714,44.334561925551256,42.67268931934278,0.1631781361166553,0.027259886259044117,0.480842356222782,0.09208530798273436,40.492804069899584,3.405996991797464
novhhtobb,98.96902626700414,95.81037110582024,92.67853553158449,0.0,0.0,0.12627386462262097,0.0,87.06401912496284,18.063427568973538
tthtobb,59.005804257314644,58.012627852943524,55.61548767657571,0.044582295684803305,0.017943790612871505,0.4554707338261734,0.12783985064916975,44.216204064736715,9.94212446251172
diboson,228.12543980049531,210.10661024498967,191.53934528616506,0.0,0.0,0.19160992682041514,0.0,114.11833385186387,14.071020599211414
vjets,6150.560921158615,5493.9098886705315,4955.040902731193,0.02244359058166232,0.0,0.49100353658533374,0.17935874772298985,2996.7906120471293,569.1111558520274
vbfhh4b-k2v0,12.50609187685465,12.450203267792553,11.681060347628963,1.6449899991798602,1.2876444057342367,2.457122892136104,1.8545085865164785,7.44710031114995,4.7072884533288
