,Skimmer Preselection,HLT,H1Msd > 40 & Pt > 300,Bin 1,Bin 1 [110-140],Bin 2,Bin 2 [110-140],Bin 3,Bin 3 [110-140]
qcd,801070.0113698598,684266.9034217483,652313.7362820143,1.3214698231327002,0.0,36.27887901808139,10.903389791782935,349645.3931293649,74683.11801534379
data,1211253.0,1086898.0,986200.0,11.0,1.0,110.0,28.0,560417.0,118676.0
ttbar,73558.57435693237,57653.043205205104,57123.1546751503,0.9327124971167543,0.5027735656361862,15.953210036650603,5.257738991441984,35991.06669641079,8009.720311376801
gghtobb,295.34944659356086,287.3346446932861,277.6654905066094,0.07550034875998393,0.07550034875998393,0.66678850661376,0.10166929580528153,262.21843238274687,55.67496141351748
vbfhtobb,44.16352155103003,42.67271995491446,41.00418525810111,0.030733788951604776,0.0,0.0,0.0,37.851204669698866,6.775918455273235
vhtobb,154.57994344298038,150.45431768311187,143.90094882833944,0.6404033585595832,0.07982118203121225,1.708074037230498,0.26662571575860017,135.65799028957875,12.199821927035698
novhhtobb,339.5129681445909,330.00736464820056,318.6696757647105,0.10623413771158871,0.07550034875998393,0.66678850661376,0.10166929580528153,300.0696370524457,62.45087986879072
tthtobb,186.55355741268906,183.61649459562247,175.6905594946717,0.14299676569996872,0.05995075402954676,1.476291863044607,0.37562575299438933,139.99544883366053,31.376628662570376
diboson,731.7288742228686,678.12627520304,606.9024962157049,0.061779339182664435,0.0,0.1527141040248929,0.0,362.3671949061104,39.2920813505652
vjets,19399.894462555378,18071.954561903978,16378.245292454687,0.31442356564153534,0.0,3.052812467048276,1.2600310413170552,11316.267936412358,2227.957901452144
hh4b,3.968731701273867,3.9084215273360834,3.7376049363081862,0.2605666031795958,0.1916094761515981,0.6172492967205718,0.4224696450766898,2.8152593686665384,1.366666084365062
vbfhh4b-k2v0,40.823802840636745,40.671616861364676,38.219607000553744,5.282937112978454,4.159991168232543,7.933671691326882,5.941610178378539,24.557510883961644,15.401306062918572
