,Skimmer Preselection,HLT,H1Msd > 40 & Pt > 300,Bin 1,Bin 1 [110-140],Bin 2,Bin 2 [110-140],Bin 3,Bin 3 [110-140]
qcd,287721.8743627064,195465.39384795754,183744.19701054113,0.005506884742937809,0.0,4.782206294963163,2.3007445994977243,98353.91206003107,21005.358717708143
data,322695.0,263141.0,246093.0,2.0,0.0,45.0,5.0,139369.0,29129.0
ttbar,24213.748714421206,18739.416550079673,18286.30699326835,1.093325292430402,0.27819108997616704,11.01493086843684,3.48613228472624,11741.052232842563,2610.3321909980027
gghtobb,97.90659919569758,86.3179657495644,83.75377180270804,0.024988867964510195,0.004100587705701116,0.207782180443626,0.06821348391860471,79.6955267324905,17.4972379699617
vbfhtobb,14.801457845820124,13.1624134763599,12.699284413413128,0.0,0.0,0.017292554622548473,0.005058808602699166,11.89766039499569,2.07335725838163
vhtobb,48.754706915721805,43.772776882111536,42.10941282360004,0.25155384374349415,0.02358614963455921,0.5618174256069922,0.0836521759919877,39.63394218430461,3.4923968010294164
novhhtobb,112.7080570415177,99.4803792259243,96.45305621612115,0.024988867964510195,0.004100587705701116,0.22507473506617448,0.07327229252130388,91.5931871274862,19.57059522834333
tthtobb,58.19864665965176,51.84880631107316,50.3145182418217,0.06514014969486898,0.014587475736163258,0.4457334921282369,0.10895712777292296,40.228410746267976,9.061301311894841
diboson,243.57706451346735,195.39398238873665,180.73656316817903,0.0592747247346589,0.0,0.3712952171725791,0.0,104.6751760842283,10.841226383051364
vjets,6805.737698177307,5056.921841173984,4710.407874796608,0.0,0.0,0.6439467919418675,0.0,2858.308560700206,559.9155792361585
hh4b,1.2730785103428932,1.2207408906887043,1.1788444484845324,0.09305955092975784,0.07601248358242846,0.20694502041447504,0.14296643539782,0.8659498784469224,0.426415413201495
