,1 ≤ Category < 2,1 ≤ Category_JER_down < 2
data,6.0,
hh4b,,0.5
hh4b-kl0,,0.62
hh4b-kl2p45,,0.39
hh4b-kl5,,0.3
vbfhh4b,,0.01
vbfhh4b-k2v0,,9.69
vbfhh4b-kv1p74-k2v1p37-kl14p4,,12.77
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,15.47
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.76
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.11
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.55
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,13.56
ttbar,,2.12
gghtobb,,0.13
vbfhtobb,,0.0
vhtobb,,1.48
novhhtobb,,0.16
tthtobb,,0.17
diboson,,0.16
vjets,,0.53
