,4 ≤ Category < 5,4 ≤ Category_JER_up < 5
data,372838.0,
hh4b,,1.63
hh4b-kl0,,2.16
hh4b-kl2p45,,1.23
hh4b-kl5,,1.59
vbfhh4b,,0.03
vbfhh4b-k2v0,,10.5
vbfhh4b-kv1p74-k2v1p37-kl14p4,,14.5
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,20.56
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.03
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.77
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.2
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.9
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,21.71
ttbar,,36651.23
gghtobb,,170.48
vbfhtobb,,22.24
vhtobb,,86.28
novhhtobb,,168.55
tthtobb,,105.04
diboson,,229.85
vjets,,8829.62
