,4 ≤ Category < 5,4 ≤ Category_JMR_up < 5
data,372838.0,
hh4b,,1.63
hh4b-kl0,,2.16
hh4b-kl2p45,,1.23
hh4b-kl5,,1.58
vbfhh4b,,0.03
vbfhh4b-k2v0,,10.5
vbfhh4b-kv1p74-k2v1p37-kl14p4,,14.48
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,20.58
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.03
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.77
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.2
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.9
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,21.74
ttbar,36649.28,
gghtobb,170.47,
vbfhtobb,22.23,
vhtobb,,86.23
novhhtobb,168.54,
tthtobb,105.02,
diboson,,227.27
vjets,8829.25,
