,4 ≤ Category < 5,4 ≤ Category_JMR_up < 5
data,163891.0,
hh4b,,0.75
hh4b-kl0,,0.99
hh4b-kl2p45,,0.57
hh4b-kl5,,0.72
vbfhh4b,,0.01
vbfhh4b-k2v0,,5.05
vbfhh4b-kv1p74-k2v1p37-kl14p4,,6.92
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,9.79
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.85
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.1
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.43
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,10.27
ttbar,15312.4,
gghtobb,78.49,
vbfhtobb,10.86,
vhtobb,,41.99
novhhtobb,77.74,
tthtobb,43.58,
diboson,,74.48
vjets,4009.68,
