,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
qcd,2218509.8322,1440760.5842,202611.2712,131955.8794,0.1566,1.0025,0.7521,0.1422,0.0,3.296,1.1598,79.7126,31.4943
data,2817231.0,2018345.0,296204.0,206278.0,0.0,1.0,5.0,1.0,0.0,30.0,11.0,190.0,57.0
ttbar,52134.3234,46868.2116,22057.9692,18233.6969,0.2373,0.6153,0.1304,0.0271,0.0,3.122,1.1531,48.6229,15.288
gghtobb,415.4252,355.1502,85.9815,82.7316,0.0245,0.0475,0.0371,0.0104,0.0,0.0899,0.021,0.1417,0.0695
vbfhtobb,106.6612,93.5751,11.7144,11.0639,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vhtobb,88.2606,81.6248,54.0013,52.9419,0.0567,0.1775,0.42,0.0932,0.0015,0.5257,0.1575,1.3246,0.9185
novhhtobb,522.0864,469.5922,102.4665,98.5794,0.0277,0.0621,0.0433,0.012,0.0,0.1026,0.0239,0.1516,0.0741
tthtobb,116.6812,107.1653,57.5899,52.4239,0.0247,0.0634,0.0417,0.0108,0.0,0.1635,0.0503,0.3337,0.1281
diboson,620.1741,538.0907,188.3418,148.7948,0.0,0.0338,0.2398,0.0,0.0,0.0,0.0,2.8428,0.0
vjets,47877.3309,38214.3589,6319.055,4847.2425,0.0308,0.1275,0.1329,0.0,0.0,0.1727,-0.0293,4.6925,0.5977
hh4b,3.0274,2.9507,1.3669,1.3612,0.044,0.0544,0.1489,0.1277,0.0,0.1627,0.1342,0.1072,0.0889
hh4b-kl0,4.2073,4.0417,1.7775,1.7651,0.0508,0.067,0.182,0.1594,-0.0001,0.2141,0.1675,0.1362,0.1085
hh4b-kl2p45,2.2867,2.2354,1.0326,1.0193,0.029,0.0372,0.116,0.1035,0.0,0.1313,0.1053,0.0829,0.0678
hh4b-kl5,3.7503,3.4527,1.2043,1.1608,0.0262,0.0334,0.094,0.0811,0.0,0.087,0.071,0.0661,0.0534
vbfhh4b,0.0855,0.0824,0.0275,0.0265,0.0029,0.0037,0.003,0.0025,0.0,0.0013,0.001,0.0017,0.0014
vbfhh4b-k2v0,18.6984,20.008,12.9372,12.8433,2.7868,3.4298,2.7899,2.376,0.0092,0.4248,0.3477,0.6919,0.5681
vbfhh4b-kv1p74-k2v1p37-kl14p4,33.8687,33.7697,17.539,17.0362,3.9498,4.8176,3.5873,3.1596,0.0037,0.2911,0.2298,0.7617,0.6197
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0106,0.0115,0.0079,0.0078,0.0018,0.0022,0.0018,0.0015,0.0,0.0002,0.0002,0.0004,0.0003
vbfhh4b-kvm0p758-k2v1p44-klm19p3,45.6253,46.0996,22.5831,22.2369,3.9743,4.7916,4.3536,3.6814,0.0,0.9873,0.8233,1.2681,1.0546
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.086,0.0811,0.0255,0.0243,0.0024,0.003,0.0031,0.0026,0.0,0.0009,0.0008,0.0009,0.0007
vbfhh4b-kvm1p21-k2v1p94-klm0p94,3.0722,3.3018,2.2052,2.1901,0.4887,0.5963,0.4939,0.4215,0.0015,0.0681,0.0541,0.1042,0.0868
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.5243,0.5139,0.214,0.2081,0.0348,0.0417,0.0373,0.0325,0.0004,0.0061,0.0045,0.0072,0.0054
vbfhh4b-kvm1p83-k2v3p57-klm3p39,2.3219,2.2681,0.9052,0.8746,0.1316,0.1701,0.1692,0.142,0.0,0.0353,0.0299,0.0355,0.0286
vbfhh4b-kvm2p12-k2v3p87-klm5p96,51.0991,51.0136,23.3655,22.9408,3.8559,4.7469,3.7318,3.2575,0.0239,1.3259,1.032,1.6292,1.2346
