,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
qcd,7200492.4497,5104353.0366,667152.0292,438061.6471,1.0431,5.3165,2.1533,0.3857,0.0,20.8153,8.2118,242.7933,49.9643
data,9000437.0,7488932.0,946276.0,653979.0,1.0,9.0,6.0,1.0,0.0,59.0,19.0,584.0,186.0
ttbar,167556.6861,154430.1061,71327.1381,59152.7835,0.385,2.3919,2.1207,0.4948,0.0,9.9959,4.3426,166.6118,59.6969
gghtobb,1335.4851,1192.3402,281.6346,271.35,0.0352,0.1336,0.1301,0.0439,0.0,0.3406,0.1197,0.5238,0.2826
vbfhtobb,343.6791,313.2473,37.8622,35.1569,0.0,0.0,0.0,0.0,0.0,0.0289,0.0,0.0132,0.0132
vhtobb,299.9129,287.2014,174.7309,171.0093,0.1745,0.588,1.4835,0.2633,0.0017,1.8293,0.5764,4.4786,3.1428
novhhtobb,1679.1641,1606.8135,341.7983,328.7928,0.0423,0.1613,0.1577,0.054,0.0,0.4331,0.1397,0.5821,0.3214
tthtobb,371.9549,353.3404,186.0826,168.8422,0.1046,0.1693,0.1672,0.059,0.0,0.5506,0.221,1.0762,0.4806
diboson,2006.8391,1839.4943,615.8994,491.6887,0.0,0.1296,0.1575,0.0559,0.0,0.8705,0.0,5.9584,0.7184
vjets,155344.9196,131482.8653,20717.329,16031.3497,-0.0033,1.2711,0.5324,0.3776,0.0,1.982,0.9618,22.1464,5.5296
hh4b,9.6578,9.8925,4.5168,4.4915,0.1452,0.1845,0.5084,0.4353,0.0003,0.5323,0.4294,0.3613,0.2896
hh4b-kl0,13.5833,13.7574,6.01,5.9735,0.1857,0.2342,0.6268,0.5255,0.0001,0.7133,0.5703,0.4626,0.3784
hh4b-kl2p45,7.338,7.5224,3.4637,3.4277,0.1236,0.1519,0.397,0.346,0.0,0.4061,0.3328,0.2756,0.2262
hh4b-kl5,11.9658,11.604,3.9108,3.7662,0.099,0.1205,0.2998,0.2553,0.0002,0.2996,0.2382,0.216,0.1708
vbfhh4b,0.271,0.2752,0.088,0.0852,0.01,0.0124,0.0099,0.0085,0.0,0.004,0.0033,0.005,0.0041
vbfhh4b-k2v0,60.7865,68.5593,44.4824,44.1799,9.6128,11.8598,9.8135,8.3658,0.0288,1.4736,1.1979,2.3568,1.908
vbfhh4b-kv1p74-k2v1p37-kl14p4,108.5689,114.8267,59.9871,58.162,12.6062,15.9752,12.9511,10.8599,0.0464,1.0161,0.8007,2.4094,1.9612
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0347,0.0396,0.0274,0.0272,0.0063,0.0078,0.0064,0.0054,0.0,0.0007,0.0006,0.0013,0.0011
vbfhh4b-kvm0p758-k2v1p44-klm19p3,147.9301,157.8709,78.8541,77.6164,13.8994,17.1574,15.6239,13.3322,0.0541,3.5007,2.772,4.0855,3.3638
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.2666,0.2669,0.0827,0.0786,0.0082,0.0101,0.0124,0.0102,0.0,0.0025,0.002,0.003,0.0023
vbfhh4b-kvm1p21-k2v1p94-klm0p94,9.9869,11.3487,7.6301,7.5778,1.6898,2.0755,1.7822,1.5094,0.005,0.2312,0.1843,0.3638,0.2973
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.6355,1.7015,0.6978,0.6839,0.1041,0.1318,0.1177,0.0998,0.0001,0.0201,0.0163,0.0291,0.024
vbfhh4b-kvm1p83-k2v3p57-klm3p39,7.2798,7.5216,3.0858,2.9963,0.4659,0.5836,0.5566,0.4702,0.0013,0.1135,0.0947,0.1281,0.1056
vbfhh4b-kvm2p12-k2v3p87-klm5p96,166.0322,175.5855,80.3924,79.1476,13.4713,16.569,13.7432,11.8511,0.0287,3.9044,3.2052,4.6252,3.8284
