,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
qcd,2448626.0579,1216077.9071,172311.6331,113204.9819,0.1477,0.8791,0.0466,0.0,0.0,14.7437,0.8408,119.0987,31.5471
data,2270543.0,1721088.0,238062.0,164092.0,1.0,3.0,2.0,0.0,0.0,17.0,6.0,179.0,52.0
ttbar,53702.3254,37469.2959,18655.4273,15366.8663,0.1026,0.5666,0.574,0.2072,0.0,2.3954,1.1365,50.9293,18.1389
gghtobb,439.5024,342.3193,81.4027,78.8136,0.0225,0.0417,0.0487,0.0171,0.0,0.0887,0.0263,0.1466,0.0607
vbfhtobb,117.6732,94.9253,11.4893,10.8955,0.0002,0.0049,0.0053,0.0,0.0,0.0,0.0,0.0208,0.0121
vhtobb,96.8708,75.3805,45.4862,44.2271,0.0187,0.1316,0.2925,0.0178,0.0,0.351,0.0297,1.4365,0.729
novhhtobb,439.5024,339.729,80.6424,78.0636,0.0223,0.0425,0.0499,0.0171,0.0,0.0902,0.0267,0.1437,0.0594
tthtobb,115.0378,88.6737,48.8127,44.1669,0.0078,0.0477,0.0401,0.0119,0.0,0.1455,0.0562,0.3502,0.1694
diboson,489.146,344.9387,111.8434,75.4114,0.0,0.0584,0.0,0.0,0.0,0.0,0.0,0.2519,0.0
vjets,49944.9841,32097.174,5226.2573,4016.8037,0.1701,0.4074,0.0003,0.1016,0.0,-0.1461,0.0306,6.8598,1.5625
hh4b,3.1081,2.6023,1.1815,1.1747,0.0278,0.0445,0.1157,0.0831,0.0001,0.1318,0.0813,0.1348,0.0856
hh4b-kl0,4.3365,3.5697,1.5283,1.5159,0.0315,0.0495,0.1448,0.097,0.0002,0.1747,0.1106,0.155,0.0963
hh4b-kl2p45,2.3612,2.007,0.9005,0.8896,0.0232,0.0379,0.0916,0.0618,0.0004,0.0979,0.0648,0.0968,0.062
hh4b-kl5,3.8693,3.1218,1.0083,0.9711,0.0166,0.0287,0.0675,0.0492,0.0,0.0771,0.0514,0.0823,0.0543
vbfhh4b,0.0906,0.0762,0.0233,0.0225,0.002,0.0032,0.002,0.0013,0.0,0.001,0.0007,0.002,0.0011
vbfhh4b-k2v0,20.0754,18.6316,11.7651,11.622,1.9367,3.2319,2.0618,1.355,0.0415,0.3774,0.2274,0.9066,0.5236
vbfhh4b-kv1p74-k2v1p37-kl14p4,36.5199,31.9099,15.868,15.2679,2.7167,4.5887,2.6077,1.6986,0.0685,0.2228,0.1285,0.927,0.5308
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0115,0.0108,0.0073,0.0072,0.0013,0.0022,0.0013,0.0009,0.0,0.0002,0.0001,0.0005,0.0003
vbfhh4b-kvm0p758-k2v1p44-klm19p3,48.7667,42.9258,20.3435,19.9964,2.6728,4.5176,3.2224,2.135,0.0476,0.8328,0.5106,1.6534,0.9205
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.0898,0.0748,0.0215,0.0203,0.0018,0.0029,0.0024,0.0016,0.0,0.0007,0.0004,0.0011,0.0006
vbfhh4b-kvm1p21-k2v1p94-klm0p94,3.2954,3.0776,2.0161,1.9917,0.3432,0.5731,0.3693,0.2431,0.0076,0.0588,0.0359,0.1415,0.0812
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.5367,0.4616,0.1805,0.1758,0.0228,0.0373,0.0263,0.0175,0.0005,0.0057,0.0035,0.0103,0.0059
vbfhh4b-kvm1p83-k2v3p57-klm3p39,2.421,2.0777,0.8035,0.7776,0.097,0.16,0.1147,0.0753,0.0018,0.0286,0.0174,0.0491,0.0288
vbfhh4b-kvm2p12-k2v3p87-klm5p96,54.735,47.5406,20.7202,20.3556,2.5622,4.2465,3.022,1.9821,0.0299,1.0107,0.5963,1.8129,1.0784
