,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,19193848.0000,15238259.0000,2018184.0000,1397562.0000,3.0000,23.0000,17.0000,4.0000,0.0000,135.0000,44.0000,1285.0000,408.0000
hh4b,22.4152,21.1097,9.6126,9.5586,0.2810,0.3831,1.0077,0.8117,0.0009,1.1129,0.8335,0.8866,0.6463
hh4b-kl0,31.4212,29.2526,12.6413,12.5525,0.3313,0.4565,1.2508,0.9963,0.0010,1.4759,1.0894,1.1193,0.8227
hh4b-kl2p45,16.9479,16.0985,7.3285,7.2458,0.2295,0.3063,0.7838,0.6316,0.0007,0.8493,0.6432,0.6648,0.4880
hh4b-kl5,27.8383,25.2393,8.3271,8.0138,0.1839,0.2461,0.6020,0.4825,0.0001,0.6250,0.4680,0.5279,0.3814
vbfhh4b,0.6365,0.5986,0.1888,0.1825,0.0190,0.0262,0.0191,0.0151,0.0001,0.0086,0.0064,0.0132,0.0092
vbfhh4b-k2v0,140.8211,145.9750,93.5590,92.7142,18.3628,25.2302,18.8574,14.8647,0.1621,3.0555,2.2391,5.8517,4.0997
vbfhh4b-kv1p74-k2v1p37-kl14p4,253.8606,248.4882,126.3481,122.1677,24.8538,34.8219,24.4369,19.1904,0.2458,2.0341,1.4668,6.0879,4.2465
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0804,0.0843,0.0577,0.0570,0.0121,0.0166,0.0122,0.0096,0.0001,0.0015,0.0011,0.0033,0.0023
vbfhh4b-kvm0p758-k2v1p44-klm19p3,343.3360,338.1812,164.1860,161.4147,26.1317,35.7853,29.5976,23.4312,0.2008,7.1586,5.2185,10.4672,7.3716
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.6283,0.5850,0.1755,0.1664,0.0160,0.0221,0.0227,0.0175,0.0001,0.0056,0.0041,0.0073,0.0050
vbfhh4b-kvm1p21-k2v1p94-klm0p94,23.1315,24.1427,16.0250,15.8811,3.2328,4.4324,3.3948,2.6698,0.0289,0.4806,0.3483,0.9040,0.6358
vbfhh4b-kvm1p6-k2v2p72-klm1p36,3.8060,3.6629,1.4671,1.4325,0.2094,0.2886,0.2349,0.1848,0.0021,0.0426,0.0309,0.0674,0.0475
vbfhh4b-kvm1p83-k2v3p57-klm3p39,17.0411,16.3443,6.4966,6.2891,0.8920,1.2482,1.0809,0.8473,0.0072,0.2378,0.1789,0.3160,0.2230
vbfhh4b-kvm2p12-k2v3p87-klm5p96,384.0514,374.0319,167.8005,164.9331,25.2131,34.4073,26.5458,21.0423,0.1881,8.3404,6.0948,11.8715,8.4223
qcd,16905544.5810,10574758.4353,1444375.3970,949206.7593,2.2583,10.4856,5.8476,0.5738,0.0000,41.0844,11.4211,608.1407,157.3767
ttbar,389317.1940,328740.4462,156718.9020,129520.9962,0.9403,4.8671,3.5234,1.1940,0.0000,22.4377,8.8397,375.6139,129.3869
gghtobb,3101.7625,2628.7629,626.3334,604.2157,0.1126,0.3108,0.2987,0.1026,0.0000,0.7686,0.2613,1.2467,0.6190
vbfhtobb,807.5361,703.5218,84.6600,79.4070,0.0064,0.0391,0.0307,0.0000,0.0000,0.0289,0.0000,0.0389,0.0302
vhtobb,682.2498,606.0062,367.7830,359.0017,0.2668,1.1329,2.8060,0.4142,0.0047,3.4083,0.8279,10.2416,6.3168
novhhtobb,3552.1027,3147.4552,700.2685,674.8108,0.1226,0.3543,0.3337,0.1141,0.0000,0.8716,0.2828,1.2997,0.6557
tthtobb,861.7593,764.5933,410.2225,371.8439,0.1637,0.4051,0.3522,0.1122,0.0000,1.2518,0.4762,2.5286,1.1118
diboson,4454.2366,3769.7982,1245.8917,949.3574,0.0000,0.3857,0.4594,0.0559,0.0000,0.9802,0.0000,12.5747,0.9334
vjets,355443.0870,273039.4804,43909.4005,33740.5464,0.2175,1.7826,0.4156,0.4083,0.0000,2.1559,0.7059,49.7211,10.3086
B ABCD,,,,,0.9115,,,4.706,,,,,
S/B ABCD,,,,,,,,0.168,,,,,
