,4 ≤ Category < 5,4 ≤ Category_JES_down < 5
data,653365.0,
hh4b,,2.59
hh4b-kl0,,3.52
hh4b-kl2p45,,1.97
hh4b-kl5,,2.6
vbfhh4b,,0.05
vbfhh4b-k2v0,,16.5
vbfhh4b-kv1p74-k2v1p37-kl14p4,,22.6
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,32.21
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.05
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,2.85
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.35
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,1.46
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,36.29
ttbar,,58330.53
gghtobb,,268.4
vbfhtobb,,35.56
vhtobb,,147.86
novhhtobb,,299.23
tthtobb,,159.32
zz,,121.99
nozzdiboson,,326.08
vjets,,15433.33
