,0 ≤ Category < 1,0 ≤ Category_JMR_down < 1
data,9.0,
hh4b,,0.14
hh4b-kl0,,0.18
hh4b-kl2p45,,0.12
hh4b-kl5,,0.09
vbfhh4b,,0.01
vbfhh4b-k2v0,,9.05
vbfhh4b-kv1p74-k2v1p37-kl14p4,,11.75
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,12.85
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.64
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.1
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.45
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,12.93
ttbar,2.34,
gghtobb,0.12,
vbfhtobb,0.0,
vhtobb,,0.44
novhhtobb,0.12,
tthtobb,0.12,
zz,,0.07
nozzdiboson,,0.0
vjets,0.92,
