,4 ≤ Category < 5,4 ≤ Category_JES_up < 5
data,373492.0,
hh4b,,1.69
hh4b-kl0,,2.26
hh4b-kl2p45,,1.28
hh4b-kl5,,1.67
vbfhh4b,,0.03
vbfhh4b-k2v0,,11.11
vbfhh4b-kv1p74-k2v1p37-kl14p4,,15.38
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,21.15
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.03
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.94
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.22
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.97
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,23.05
ttbar,,36254.77
gghtobb,,167.28
vbfhtobb,,21.77
vhtobb,,90.38
novhhtobb,,167.23
tthtobb,,105.11
zz,,72.16
nozzdiboson,,191.76
vjets,,8665.98
