,0 ≤ Category < 1,0 ≤ Category_JMS_down < 1
data,3.0,
hh4b,,0.06
hh4b-kl0,,0.06
hh4b-kl2p45,,0.05
hh4b-kl5,,0.04
vbfhh4b,,0.0
vbfhh4b-k2v0,,3.68
vbfhh4b-kv1p74-k2v1p37-kl14p4,,5.07
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,5.11
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.67
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.04
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.19
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,5.03
ttbar,0.39,
gghtobb,0.05,
vbfhtobb,0.0,
vhtobb,,0.17
novhhtobb,0.05,
tthtobb,0.06,
zz,,0.21
nozzdiboson,,0.07
vjets,0.29,
