,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,18252448.0,18252448.0,946350.0,654023.0,1.0,9.0,6.0,1.0,0.0,59.0,19.0,584.0,186.0
ttbar,276513.1152,274106.6744,70357.8891,58423.2706,0.3887,2.3232,1.5186,0.4293,0.0,7.6516,3.3578,164.2421,57.6579
gghtobb,1359.6137,1380.1023,279.7453,269.4389,0.0329,0.122,0.1203,0.0399,0.0,0.3343,0.1167,0.5219,0.2743
vbfhtobb,344.0222,348.3842,38.0006,35.5516,0.0,0.0,0.0,0.0,0.0,0.0289,0.0,0.0132,0.0132
vhtobb,335.1326,341.0176,157.7094,154.1472,0.1189,0.4408,0.9571,0.1751,0.0022,1.3768,0.4125,3.5133,2.3991
novhhtobb,1703.6359,1711.9766,312.9659,300.2164,0.0311,0.1167,0.1153,0.0386,0.0,0.3526,0.1144,0.5204,0.281
tthtobb,496.5129,503.3321,178.0364,160.8463,0.0749,0.1229,0.1315,0.0713,0.0,0.443,0.1889,0.975,0.4207
zz,622.9591,664.8111,142.3111,126.2133,0.0,0.0679,0.1984,0.0307,0.0,0.5847,0.0,3.939,0.3027
nozzdiboson,3293.1349,3935.0138,434.0493,326.3606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6483,0.209
vjets,347603.4477,421448.0483,19970.4311,15432.6913,-0.024,0.9222,0.2659,0.2698,0.0,2.3903,0.4943,18.103,4.3108
hh4b,9.5361,9.4346,3.8215,3.7992,0.1142,0.1437,0.3335,0.2884,0.0,0.4224,0.3414,0.3065,0.2492
hh4b-kl0,13.4891,13.3727,5.102,5.0662,0.1476,0.1812,0.4084,0.35,-0.0001,0.5662,0.4639,0.3894,0.3205
hh4b-kl2p45,7.2917,7.2081,2.9349,2.9008,0.0988,0.1209,0.2645,0.2287,0.0,0.3149,0.2573,0.233,0.1916
hh4b-kl5,12.2533,12.2209,3.4453,3.2988,0.0776,0.0947,0.1949,0.1678,0.0002,0.2362,0.1862,0.1804,0.1446
vbfhh4b,0.2811,0.2794,0.0763,0.0735,0.0079,0.0099,0.0067,0.0058,0.0,0.0034,0.0027,0.0042,0.0034
vbfhh4b-k2v0,61.0398,58.0048,35.1451,34.8604,7.383,9.0526,6.2591,5.3708,0.0199,1.1309,0.9206,1.9397,1.5847
vbfhh4b-kv1p74-k2v1p37-kl14p4,109.3646,105.2696,46.7698,45.0943,9.3578,11.7515,8.1095,6.8862,0.0411,0.7671,0.6132,1.8972,1.6203
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0371,0.035,0.0228,0.0226,0.0051,0.0063,0.0043,0.0037,0.0,0.0006,0.0005,0.0012,0.001
vbfhh4b-kvm0p758-k2v1p44-klm19p3,143.9287,140.0822,61.9453,60.7913,10.4506,12.8512,9.7078,8.4352,0.0115,2.6549,2.1379,3.405,2.8102
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.2834,0.2813,0.0718,0.0677,0.0065,0.0082,0.0081,0.0068,0.0,0.0021,0.0016,0.0025,0.002
vbfhh4b-kvm1p21-k2v1p94-klm0p94,10.4554,9.8751,6.203,6.1483,1.3381,1.6417,1.1715,1.0073,0.0036,0.1825,0.1468,0.3059,0.2508
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.7032,1.6677,0.5802,0.5669,0.0814,0.1023,0.0768,0.0671,0.0001,0.0137,0.012,0.0248,0.0198
vbfhh4b-kvm1p83-k2v3p57-klm3p39,7.607,7.4676,2.5651,2.4719,0.3654,0.4544,0.3615,0.3113,0.0008,0.0913,0.0748,0.1074,0.0911
vbfhh4b-kvm2p12-k2v3p87-klm5p96,166.8848,163.5372,66.2809,65.1633,10.4598,12.9316,8.9084,7.5841,0.0192,3.0865,2.6388,3.9814,3.2313
