,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,9397845.0,8592969.0,538572.0,373868.0,1.0,10.0,4.0,2.0,0.0,29.0,8.0,333.0,113.0
ttbar,224499.1907,171853.0799,44264.6501,36424.2634,0.3498,1.1813,0.4746,0.3037,0.0,4.5328,1.7231,107.6736,36.3326
gghtobb,1121.2441,837.4667,174.4239,168.1696,0.0334,0.0942,0.0709,0.0252,0.0,0.2388,0.0824,0.4318,0.196
vbfhtobb,267.3418,220.662,23.1881,21.8247,0.0063,0.0269,0.0172,0.0,0.0,0.0,0.0,0.0049,0.0049
vhtobb,279.2404,211.0773,97.3676,95.2298,0.0636,0.3307,0.7548,0.0864,0.0004,0.9042,0.2134,2.8372,1.8252
novhhtobb,1121.2441,837.2277,174.3729,168.1196,0.034,0.0964,0.0712,0.0252,0.0,0.2387,0.0825,0.4291,0.1947
tthtobb,380.8778,325.7185,117.8844,106.6216,0.0295,0.1231,0.1067,0.0364,0.0,0.3739,0.1719,0.8214,0.3453
zz,532.8119,507.7864,89.8803,76.215,0.0,0.151,0.225,0.0,0.0,0.3242,0.0,3.4181,0.2648
nozzdiboson,2887.8184,3201.5462,265.1989,193.2941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2091,0.0
vjets,330976.399,313697.2739,11560.1235,8707.5589,0.0244,-0.0247,-0.2696,-0.2045,0.0,0.2409,-0.1899,15.5271,2.7193
hh4b,7.0502,5.9597,2.6351,2.6215,0.0864,0.1124,0.272,0.2272,0.0,0.3103,0.2442,0.2333,0.182
hh4b-kl0,9.9231,8.2343,3.4152,3.3924,0.0983,0.1289,0.3337,0.2735,0.0003,0.382,0.2926,0.2831,0.2264
hh4b-kl2p45,5.2702,4.6031,2.0052,1.9851,0.0741,0.0924,0.2086,0.1674,0.0002,0.233,0.1843,0.1698,0.1299
hh4b-kl5,9.2493,7.9299,2.3146,2.2218,0.057,0.0733,0.161,0.1321,0.0002,0.1788,0.1396,0.1328,0.1031
vbfhh4b,0.2114,0.1861,0.0539,0.0522,0.0057,0.0077,0.0052,0.0042,0.0,0.0025,0.0019,0.0036,0.0027
vbfhh4b-k2v0,42.538,40.9951,25.7543,25.5336,5.2311,6.9263,5.1792,4.2094,0.0227,0.8185,0.6144,1.4942,1.1163
vbfhh4b-kv1p74-k2v1p37-kl14p4,79.5226,74.0007,34.7419,33.6187,7.1422,9.5175,6.6494,5.3597,0.0299,0.4964,0.3937,1.5628,1.1516
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0258,0.0252,0.0169,0.0168,0.0036,0.0048,0.0036,0.0029,0.0,0.0004,0.0003,0.0009,0.0007
vbfhh4b-kvm0p758-k2v1p44-klm19p3,103.2446,95.1517,43.3974,42.657,7.1238,9.4822,7.5031,6.1227,0.0189,1.9046,1.431,2.5952,1.9531
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.2134,0.1894,0.0501,0.0473,0.0049,0.0065,0.0059,0.0048,0.0,0.0016,0.0012,0.0019,0.0014
vbfhh4b-kvm1p21-k2v1p94-klm0p94,7.2723,7.0665,4.584,4.5437,0.9536,1.2654,0.9649,0.7824,0.0048,0.1317,0.0995,0.2378,0.1774
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.2369,1.1188,0.4052,0.3955,0.0614,0.0807,0.0667,0.0536,0.0003,0.0116,0.0087,0.017,0.0127
vbfhh4b-kvm1p83-k2v3p57-klm3p39,5.5609,5.0466,1.8305,1.767,0.2597,0.3493,0.2964,0.2391,0.0011,0.0652,0.0485,0.0811,0.0604
vbfhh4b-kvm2p12-k2v3p87-klm5p96,118.3525,107.1969,45.656,44.8991,7.0584,9.3875,7.3072,5.915,0.0273,2.2756,1.6814,2.8696,2.1371
