,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,4149633.0,3713150.0,268047.0,186602.0,1.0,3.0,4.0,0.0,0.0,19.0,7.0,206.0,59.0
ttbar,121260.3049,69261.6754,21756.6359,17979.2708,0.1058,0.3928,0.3943,0.1424,0.0,2.2049,1.1726,58.8223,22.9979
gghtobb,603.5026,413.7453,90.7977,87.7861,0.0219,0.047,0.0469,0.0188,0.0,0.1053,0.0323,0.1759,0.0695
vbfhtobb,141.5512,108.3739,12.3269,11.6888,0.0002,0.005,0.0054,0.0,0.0,0.0,0.0,0.0211,0.0068
vhtobb,161.3115,109.6286,52.6363,51.4918,0.0356,0.1724,0.4139,0.0409,0.0,0.4726,0.0944,1.5402,0.9806
novhhtobb,603.5026,413.6216,90.7666,87.7557,0.0218,0.0472,0.0476,0.0191,0.0,0.1051,0.0322,0.1749,0.069
tthtobb,205.1637,143.6666,59.4919,54.04,0.013,0.0639,0.0428,0.0163,0.0,0.1558,0.0684,0.4255,0.1971
zz,301.2636,201.0403,48.7722,41.3308,0.0,0.2067,0.0,0.0,0.0,0.2415,0.0,1.5192,0.1842
nozzdiboson,1575.4993,877.9665,131.2381,95.6585,0.0,0.0658,0.0,0.0,0.0,0.0,0.0,0.2702,0.0
vjets,179375.7653,85386.9875,5877.6413,4488.8245,0.0323,0.2932,0.0049,0.0069,0.0,0.025,0.2373,6.824,1.1853
hh4b,3.7832,3.0775,1.3983,1.3915,0.0439,0.0567,0.146,0.1212,0.0,0.164,0.1244,0.1259,0.0977
hh4b-kl0,5.3602,4.2688,1.8225,1.8103,0.0501,0.066,0.1822,0.148,0.0001,0.2133,0.1661,0.1447,0.1145
hh4b-kl2p45,2.8627,2.3802,1.0729,1.0622,0.038,0.0496,0.1134,0.0951,0.0,0.1206,0.0927,0.0927,0.0715
hh4b-kl5,4.9738,3.8926,1.223,1.1785,0.0276,0.0361,0.0848,0.071,0.0002,0.1006,0.0767,0.0764,0.0596
vbfhh4b,0.1126,0.0927,0.0281,0.0272,0.0029,0.0039,0.0027,0.0022,0.0,0.0013,0.001,0.0019,0.0014
vbfhh4b-k2v0,22.7716,21.534,13.6934,13.5808,2.7693,3.6732,2.7262,2.2094,0.0136,0.4374,0.3292,0.789,0.5902
vbfhh4b-kv1p74-k2v1p37-kl14p4,42.7324,37.5346,18.362,17.7588,3.8053,5.0455,3.4673,2.8094,0.0188,0.2405,0.1767,0.8225,0.6131
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0138,0.0133,0.009,0.0089,0.0019,0.0026,0.0019,0.0015,0.0,0.0002,0.0002,0.0005,0.0004
vbfhh4b-kvm0p758-k2v1p44-klm19p3,55.3118,48.8139,23.0845,22.7304,3.8385,5.1307,3.9684,3.2378,0.0142,0.9576,0.7109,1.4124,1.0387
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.1152,0.094,0.0265,0.0252,0.0026,0.0034,0.0032,0.0026,0.0,0.001,0.0007,0.001,0.0008
vbfhh4b-kvm1p21-k2v1p94-klm0p94,3.8905,3.7055,2.4365,2.4157,0.5052,0.6697,0.5079,0.4113,0.0024,0.07,0.0525,0.1287,0.0958
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.6678,0.5652,0.2172,0.2121,0.0324,0.0429,0.0354,0.029,0.0001,0.0067,0.005,0.0091,0.0067
vbfhh4b-kvm1p83-k2v3p57-klm3p39,2.9897,2.5385,0.9604,0.9307,0.1396,0.1853,0.1528,0.1249,0.0006,0.0331,0.0246,0.0448,0.0338
vbfhh4b-kvm2p12-k2v3p87-klm5p96,64.022,55.5997,24.2165,23.8226,3.8141,5.0503,3.7736,3.0147,0.0209,1.1922,0.9032,1.5668,1.1642
