,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,36562582.0000,35321223.0000,2049200.0000,1420782.0000,3.0000,23.0000,19.0000,4.0000,0.0000,137.0000,45.0000,1313.0000,415.0000
hh4b,23.3227,21.3282,9.0377,8.9898,0.2817,0.3579,0.8552,0.7268,0.0000,1.0300,0.8189,0.7581,0.6058
hh4b-kl0,32.9015,29.8707,11.8920,11.8087,0.3379,0.4329,1.0522,0.8830,0.0003,1.3345,1.0580,0.9381,0.7594
hh4b-kl2p45,17.6846,16.3768,6.9095,6.8337,0.2349,0.2936,0.6679,0.5643,0.0002,0.7741,0.6192,0.5695,0.4555
hh4b-kl5,30.2619,27.7028,8.0559,7.7314,0.1837,0.2314,0.5060,0.4286,0.0006,0.5871,0.4618,0.4497,0.3576
vbfhh4b,0.6926,0.6430,0.1827,0.1764,0.0191,0.0246,0.0167,0.0140,0.0000,0.0083,0.0065,0.0113,0.0088
vbfhh4b-k2v0,144.8947,137.9882,85.2436,84.5389,17.6319,22.4089,16.1040,13.4528,0.0629,2.7240,2.1417,4.8081,3.7716
vbfhh4b-kv1p74-k2v1p37-kl14p4,265.0652,248.3008,114.2342,110.3157,23.4000,30.1349,20.6728,17.2293,0.0978,1.7370,1.3688,4.8582,3.8475
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0879,0.0840,0.0556,0.0551,0.0122,0.0156,0.0111,0.0092,0.0000,0.0014,0.0011,0.0029,0.0024
vbfhh4b-kvm0p758-k2v1p44-klm19p3,346.5328,326.0628,146.8499,144.3063,24.6684,31.3796,24.0495,20.2668,0.0460,6.2994,4.9368,8.4402,6.6146
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.7020,0.6517,0.1714,0.1618,0.0161,0.0207,0.0193,0.0160,0.0000,0.0053,0.0041,0.0062,0.0048
vbfhh4b-kvm1p21-k2v1p94-klm0p94,24.7931,23.6192,15.0974,14.9672,3.2024,4.0709,2.9987,2.5072,0.0122,0.4384,0.3417,0.7662,0.6023
vbfhh4b-kvm1p6-k2v2p72-klm1p36,4.1399,3.8594,1.3863,1.3531,0.2038,0.2602,0.2051,0.1728,0.0008,0.0368,0.0293,0.0570,0.0438
vbfhh4b-kvm1p83-k2v3p57-klm3p39,18.5381,17.3311,6.1311,5.9140,0.8771,1.1307,0.9272,0.7728,0.0025,0.2161,0.1709,0.2645,0.2106
vbfhh4b-kvm2p12-k2v3p87-klm5p96,399.9524,374.8554,156.0556,153.3938,24.4282,31.1688,22.6954,18.8965,0.0674,7.5780,6.0501,9.8552,7.6325
ttbar,708128.0048,600255.8839,157899.7836,130641.0864,1.0032,4.4228,2.4992,0.9107,0.0000,16.4399,7.0651,378.8319,131.8228
gghtobb,3501.4332,3039.2699,629.3217,606.5485,0.1130,0.3117,0.2732,0.0942,0.0000,0.7671,0.2509,1.2707,0.6123
vbfhtobb,857.1276,778.8942,84.8687,79.7723,0.0065,0.0395,0.0226,0.0000,0.0000,0.0289,0.0000,0.0392,0.0249
vhtobb,871.2843,756.5799,356.2172,348.3597,0.2640,1.0789,2.4187,0.3668,0.0017,3.1750,0.8410,8.9798,5.9399
novhhtobb,3949.6678,3467.1967,672.3352,646.4763,0.1106,0.3145,0.2687,0.0930,0.0000,0.7836,0.2485,1.2604,0.6139
tthtobb,1236.8256,1128.0352,410.4155,371.3253,0.1346,0.3557,0.3073,0.1364,0.0000,1.1152,0.4802,2.5142,1.0716
zz,1656.6947,1586.9890,326.3954,283.4982,0.0000,0.4439,0.4234,0.0307,0.0000,1.3291,0.0000,10.9199,0.7517
nozzdiboson,8731.3572,9282.9588,961.2601,712.7192,0.0000,0.0658,0.0000,0.0000,0.0000,0.0000,0.0000,1.2391,0.2090
vjets,961507.4012,957103.3892,43497.4611,33317.7252,0.0567,1.3004,0.1166,0.0722,0.0000,2.9924,0.6553,44.1070,8.3758
B ABCD,,,,,0.6603,,,4.688,,,,,
S/B ABCD,,,,,,,,0.153,,,,,
