,4 ≤ Category < 5,4 ≤ Category_JER_down < 5
data,206063.0,
hh4b,,0.8
hh4b-kl0,,1.06
hh4b-kl2p45,,0.59
hh4b-kl5,,0.81
vbfhh4b,,0.02
vbfhh4b-k2v0,,4.95
vbfhh4b-kv1p74-k2v1p37-kl14p4,,6.79
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,9.54
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.02
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.86
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.11
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.43
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,10.55
ttbar,,17762.94
gghtobb,,80.83
vbfhtobb,,10.7
vhtobb,,45.56
novhhtobb,,90.07
tthtobb,,49.31
zz,,37.5
nozzdiboson,,97.06
vjets,,4682.64
