,4 ≤ Category < 5,4 ≤ Category_JES_down < 5
data,373492.0,
hh4b,,1.69
hh4b-kl0,,2.27
hh4b-kl2p45,,1.28
hh4b-kl5,,1.68
vbfhh4b,,0.03
vbfhh4b-k2v0,,11.14
vbfhh4b-kv1p74-k2v1p37-kl14p4,,15.42
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,21.21
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.03
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.95
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.22
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.98
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,23.1
ttbar,,36357.41
gghtobb,,167.36
vbfhtobb,,21.78
vhtobb,,90.43
novhhtobb,,167.31
tthtobb,,105.26
zz,,72.62
nozzdiboson,,193.38
vjets,,8710.45
