,3 ≤ Category < 4,3 ≤ Category_JMS_up < 4
data,206.0,
hh4b,,0.13
hh4b-kl0,,0.15
hh4b-kl2p45,,0.09
hh4b-kl5,,0.08
vbfhh4b,,0.0
vbfhh4b-k2v0,,0.8
vbfhh4b-kv1p74-k2v1p37-kl14p4,,0.83
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,1.43
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.13
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.01
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.05
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,1.57
ttbar,58.92,
gghtobb,0.18,
vbfhtobb,0.02,
vhtobb,,1.53
novhhtobb,0.17,
tthtobb,0.43,
zz,,1.52
nozzdiboson,,0.27
vjets,6.8,
