,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,4762656.0,4762656.0,296231.0,206289.0,0.0,1.0,5.0,1.0,0.0,30.0,11.0,190.0,57.0
ttbar,85855.394,85034.4542,21520.6085,17814.2816,0.1589,0.5255,0.1117,0.0353,0.0,2.0506,0.8116,48.0939,14.8344
gghtobb,417.0728,407.9556,84.3548,81.1539,0.0248,0.0485,0.0351,0.0103,0.0,0.0887,0.0195,0.1411,0.0725
vbfhtobb,104.2124,101.4741,11.3531,10.7072,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vhtobb,95.5998,94.8564,48.5039,47.4909,0.0459,0.135,0.2929,0.0644,-0.0009,0.4214,0.1207,1.0891,0.735
novhhtobb,521.2852,504.3708,94.2298,90.3846,0.0237,0.0542,0.0346,0.0101,0.0,0.0872,0.0194,0.136,0.0692
tthtobb,154.2712,155.318,55.0028,49.8174,0.0172,0.0458,0.0263,0.0124,0.0,0.1425,0.051,0.2923,0.1085
zz,199.6601,213.3512,45.4318,39.7391,0.0,0.0183,0.0,0.0,0.0,0.1787,0.0,2.0436,0.0
nozzdiboson,974.9046,1268.4323,130.7738,97.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1115,0.0
vjets,103551.7892,136571.0795,6089.2652,4688.6505,0.024,0.1097,0.1154,0.0,0.0,0.3362,0.1136,3.6529,0.1604
hh4b,2.9532,2.8564,1.1828,1.1776,0.0372,0.0451,0.1037,0.09,0.0,0.1333,0.1089,0.0924,0.0769
hh4b-kl0,4.1291,3.9949,1.5523,1.5398,0.0419,0.0568,0.1279,0.1115,0.0,0.173,0.1354,0.1209,0.098
hh4b-kl2p45,2.26,2.1854,0.8965,0.8856,0.024,0.0307,0.0814,0.0731,0.0,0.1056,0.0849,0.074,0.0625
hh4b-kl5,3.7855,3.6594,1.073,1.0323,0.0215,0.0273,0.0653,0.0577,0.0,0.0715,0.0593,0.0601,0.0503
vbfhh4b,0.0875,0.0848,0.0244,0.0235,0.0026,0.0031,0.0021,0.0018,0.0,0.0011,0.0009,0.0016,0.0013
vbfhh4b-k2v0,18.5453,17.4543,10.6508,10.5641,2.2485,2.7568,1.9395,1.6632,0.0067,0.3372,0.2775,0.5852,0.4804
vbfhh4b-kv1p74-k2v1p37-kl14p4,33.4456,31.4959,14.3605,13.8439,3.0947,3.8204,2.4466,2.174,0.008,0.233,0.1852,0.5757,0.4625
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0112,0.0105,0.0069,0.0068,0.0016,0.0019,0.0013,0.0011,0.0,0.0002,0.0001,0.0003,0.0003
vbfhh4b-kvm0p758-k2v1p44-klm19p3,44.0477,42.015,18.4227,18.1276,3.2555,3.9155,2.8702,2.4711,0.0014,0.7823,0.657,1.0276,0.8126
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.09,0.087,0.023,0.0216,0.0021,0.0026,0.0021,0.0018,0.0,0.0006,0.0006,0.0008,0.0006
vbfhh4b-kvm1p21-k2v1p94-klm0p94,3.1749,2.9721,1.8739,1.8595,0.4055,0.4941,0.3544,0.3062,0.0014,0.0542,0.0429,0.0938,0.0783
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.532,0.5077,0.1837,0.1786,0.0286,0.0343,0.0262,0.0231,0.0003,0.0048,0.0036,0.0061,0.0046
vbfhh4b-kvm1p83-k2v3p57-klm3p39,2.3805,2.2784,0.7751,0.7444,0.1124,0.1417,0.1165,0.0975,0.0,0.0265,0.023,0.0312,0.0253
vbfhh4b-kvm2p12-k2v3p87-klm5p96,50.6931,48.5216,19.9022,19.5088,3.0959,3.7994,2.7062,2.3827,0.0,1.0237,0.8267,1.4374,1.0999
