,4 ≤ Category < 5,4 ≤ Category_JMS_down < 5
data,206052.0,
hh4b,,0.89
hh4b-kl2p45,,0.66
hh4b-kl5,,0.88
vbfhh4b,,0.02
vbfhh4b-k2v0,,5.53
vbfhh4b-kv1p74-k2v1p37-kl14p4,,7.61
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,10.91
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.02
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.93
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.12
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.47
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,11.58
ttbar,17995.17,
gghtobb,82.42,
vbfhtobb,11.06,
vhtobb,,50.56
novhhtobb,98.22,
tthtobb,51.82,
zz,,49.51
nozzdiboson,,104.55
vjets,4842.12,
